Name,Class,Affinity,Portrait,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains
Ace,Soldier,Fire,https://media.discordapp.net/attachments/1081990677140869281/1082019408710467681/Ace.png,1,25,5,5,8,7,5,5,8,5,None,D,None,None,None,None,None,None,80,45,45,50,35,25,40,Halberdier,4,2,2,2,1,1,3,1,None,+70,None,None,None,None,None,None
Eduardo,Cavalier,Dark,https://media.discordapp.net/attachments/1081990677140869281/1082019411650674740/Eduardo.png,2,30,9,6,6,5,0,4,9,7,E,D,None,None,None,None,None,None,125,60,40,40,30,30,35,Paladin,2,1,1,1,2,1,2,1,+30,+30,E,None,None,None,None,None
Haas,Nomad Trooper,Ice,https://media.discordapp.net/attachments/1081990677140869281/1082019561165037659/Haas.png,5,48,17,15,15,15,10,20,12,8,B,None,None,A,None,None,None,None,110,40,25,25,20,20,35,None,,,,,,,,,None,None,None,None,None,None,None,None
Karina,Wyvern Rider,Anima,https://media.discordapp.net/attachments/1081990677140869281/1082019562029056090/Karina.png,10,30,10,13,12,10,5,11,7,7,None,C,None,None,None,None,None,None,77,40,50,45,25,25,35,Wyvern Lord,5,2,1,0,2,1,2,1,E,+40,None,None,None,None,None,None
Kelik,Swordsman,Fire,https://media.discordapp.net/attachments/1081990677140869281/1082072306723078154/Kelik.png,5,23,10,10,13,7,5,7,9,5,C,None,None,None,None,None,None,None,80,50,55,55,35,25,55,Legend,4,1,1,1,2,1,2,2,+40,None,None,None,None,None,None,None
Levion,Paladin,Ice,https://media.discordapp.net/attachments/1081990677140869281/1082072307478040587/Levion.png,12,52,20,22,16,20,12,12,14,8,A,C,A,None,None,None,None,None,95,25,40,20,25,25,15,None,,,,,,,,,None,None,None,None,None,None,None,None
Logan,Myrmidon,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082019562222010508/Logan.png,1,20,5,16,15,4,3,5,8,5,C,None,None,None,None,None,None,None,65,40,75,75,30,15,20,Swordmaster,5,2,0,0,2,2,1,1,+40,None,None,None,None,None,None,None
Itsuke,Mage,Ice,https://media.discordapp.net/attachments/1081990677140869281/1082019561831932025/Itsuke.png,3,18,7,7,9,5,7,7,5,5,None,None,None,None,None,D,None,None,60,55,50,40,25,35,30,Sage,5,1,4,0,2,2,1,1,None,None,None,None,E,+40,None,None
Asch,Hero,Ice,https://media.discordapp.net/attachments/1081990677140869281/1082019410367217695/Asch.png,1,35,17,15,12,11,5,4,12,6,D,None,B,None,None,None,None,None,115,55,50,50,35,25,120,None,,,,,,,,,None,None,None,None,None,None,None,None
Zach,Archer,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082019714345205760/Zach.png,5,28,8,7,12,5,4,5,8,5,None,None,None,C,None,None,None,None,85,45,50,45,30,15,40,Sniper,3,1,2,2,2,3,1,1,None,None,None,+40,None,None,None,None
Lirin,Pegasus Knight,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082072307826180197/Lirin.png,5,25,10,9,10,6,10,10,6,7,None,C,None,None,None,None,None,None,75,45,40,40,25,30,25,Falcoknight,5,2,0,0,2,2,1,1,E,+40,None,None,None,None,None,None
Tekun,Myrmidon,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082019713825128509/Tekun.png,6,24,10,12,15,6,1,5,9,5,C,None,None,None,None,None,None,None,75,50,55,55,35,30,40,Swordmaster,5,2,0,0,2,2,1,1,+40,None,None,None,None,None,None,None
Emma,Troubadour,Dark,https://media.discordapp.net/attachments/1081990677140869281/1082019560405868595/Emma.png,10,26,6,6,10,10,12,2,6,7,None,None,None,None,C,None,None,None,55,50,40,80,20,35,35,Valkyrie,3,2,1,0,2,3,1,1,None,None,None,None,+40,E,None,None
Ben,Wyvern Rider,Anima,https://media.discordapp.net/attachments/1081990677140869281/1082019410711167056/Ben.png,10,30,12,12,10,10,10,3,11,7,None,C,None,None,None,None,None,None,55,45,45,60,40,20,35,Wyvern Lord,4,0,2,2,0,2,1,1,E,+40,None,None,None,None,None,None
Mark,Pirate,Light,https://media.discordapp.net/attachments/1081990677140869281/1082019644900114464/Mark.png,11,35,13,10,10,7,2,7,13,5,None,None,C,None,None,None,None,None,80,55,45,40,25,20,30,Berserker,4,1,1,1,2,2,3,1,None,None,+40,None,None,None,None,None
Liuke,Transporter,Anima,https://media.discordapp.net/attachments/1081990677140869281/1082072308006522910/Liuke.png,5,25,0,5,10,12,5,15,25,0,None,None,None,None,None,None,None,None,125,10,70,90,35,25,110,Transporter,0,0,0,0,2,2,0,5,None,None,None,None,None,None,None,None
Lyam,Ranger,Fire,https://media.discordapp.net/attachments/1081990677140869281/1082019562486243499/Lyam.png,5,42,17,15,16,13,10,12,11,7,A,None,None,A,None,None,None,None,80,40,55,55,30,20,35,None,,,,,,,,,None,None,None,None,None,None,None,None
Rex,Soldier,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082019645948698747/Rex.png,10,25,13,9,11,12,4,13,9,5,None,C,None,None,None,None,None,None,80,40,40,45,35,25,45,Halberdier,4,2,2,2,1,1,3,1,None,+70,None,None,None,None,None,None
Yue,Shaman,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082019714051608647/Yue.png,13,26,14,13,10,8,10,12,7,5,None,None,None,None,None,None,None,C,75,70,45,55,25,35,30,Druid,4,0,0,3,2,2,1,1,None,None,None,None,E,None,None,+40
Howard,Paladin,Anima,https://media.discordapp.net/attachments/1081990677140869281/1082019561370550272/Howard.png,4,38,18,12,20,15,10,10,11,8,A,B,A,None,None,None,None,None,70,35,30,40,25,40,20,None,,,,,,,,,None,None,None,None,None,None,None,None
Sai,Fighter,Dark,https://media.discordapp.net/attachments/1081990677140869281/1082019646410076301/Sai.png,8,28,14,10,10,7,4,12,10,5,None,None,C,None,None,None,None,None,85,60,50,45,30,20,50,Warrior,3,1,2,0,3,3,2,1,None,None,+40,E,None,None,None,None
Risk,Swordmaster,Fire,https://media.discordapp.net/attachments/1081990677140869281/1082019646175182848/Risk.png,1,44,15,22,18,11,10,20,10,6,A,None,None,None,None,None,None,None,75,45,60,55,30,30,15,None,,,,,,,,,None,None,None,None,None,None,None,None
Liquid,Berserker,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082027066150637670/Liquid.png,1,39,18,10,18,10,2,8,13,6,None,None,A,None,None,None,None,None,65,60,80,85,30,35,35,None,,,,,,,,,None,None,None,None,None,None,None,None
Leopold,Wyvern Lord,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082072307259949126/Leopold.png,5,43,17,18,18,22,5,9,12,8,B,B,None,None,None,None,None,None,85,50,30,35,40,10,25,None,,,,,,,,,None,None,None,None,None,None,None,None
Shadow,Assassin,Ice,https://media.discordapp.net/attachments/1081990677140869281/1082019646649147392/Shadow.png,8,34,15,22,21,13,9,10,8,6,A,None,None,None,None,None,None,None,65,25,50,45,30,20,35,None,,,,,,,,,None,None,None,None,None,None,None,None
Alice,Falcoknight,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082019408903417956/Alice.png,3,37,17,19,20,12,14,17,7,8,B,A,None,None,None,None,None,None,70,45,45,50,20,25,50,None,,,,,,,,,None,None,None,None,None,None,None,None
Rana,Druid,Dark,https://media.discordapp.net/attachments/1081990677140869281/1082019645680267264/Rana.png,8,36,20,16,16,13,20,19,10,6,None,None,None,None,C,None,None,A,80,40,60,45,20,40,35,None,,,,,,,,,None,None,None,None,None,None,None,None
Gary,Warrior,Thunder,https://media.discordapp.net/attachments/1081990677140869281/1082019560942747658/Gary.png,17,57,28,25,25,17,13,30,13,6,None,None,A,A,None,None,None,None,90,60,35,35,20,20,0,None,,,,,,,,,None,None,None,None,None,None,None,None
Frederick,General,Anima,https://media.discordapp.net/attachments/1081990677140869281/1082019560649130044/Frederick.png,18,57,26,22,20,30,20,8,15,5,None,S,S,None,None,None,None,None,0,100,100,100,0,100,200,None,,,,,,,,,None,None,None,None,None,None,None,None
Rachel,Sniper,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082019645478928494/Rachel.png,7,35,15,23,20,15,10,24,7,6,None,None,None,S,None,None,None,None,75,50,50,50,30,35,50,None,,,,,,,,,None,None,None,None,None,None,None,None
