Name,Class,Affinity,Portrait,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains
Dale,Brigand,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805545144778892/15Dale.png,5,29,8,5,8,4,0,7,14,5,None,None,C,None,None,None,None,None,90,70,20,50,20,5,35,Berserker,4,1,1,1,2,2,1,1,None,None,+40,None,None,None,None,None
Chandra,Shaman,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805545362903110/16Chandra.png,6,18,11,6,6,3,9,6,6,5,None,None,None,None,None,None,None,C,45,70,40,30,10,65,30,Druid,3,1,0,3,2,2,1,1,None,None,None,None,E,None,None,+40
Freesia,Priestess,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805545622941726/17Freesia.png,5,19,7,10,13,2,4,12,6,5,None,None,None,None,None,None,C,None,60,35,45,60,20,25,45,Bishop,3,1,2,1,2,2,1,1,None,None,None,None,C,None,+30,None
Sherie,Archer,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805545824256080/18Sherie.png,7,21,7,9,10,3,4,6,5,5,None,None,None,C,None,None,None,None,50,40,50,70,15,40,45,Sniper,4,3,1,1,2,2,1,1,None,None,None,+40,None,None,None,None
Ashley,Pegasus Knight,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805580502777967/19Ashley.png,6,22,9,8,14,8,5,8,6,7,None,C,None,None,None,None,None,None,70,40,40,30,20,10,60,Falcoknight,5,2,0,0,2,2,1,1,E,+40,None,None,None,None,None,None
Wren,Knight,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805580951564408/20Wren.png,7,25,7,9,11,8,0,7,8,4,C,None,None,C,None,None,None,None,65,40,50,55,25,15,50,General,3,2,3,2,3,1,2,1,+30,D,D,+30,None,None,None,None
Raimon,Cavalier,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805581253562469/21Raimon.png,8,26,9,9,7,11,4,9,10,7,D,D,None,None,None,None,None,None,90,30,30,30,50,30,50,Paladin,2,1,1,1,2,1,2,1,+30,+30,E,None,None,None,None,None
Luca,Nomad,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805581714931722/22Luca.png,8,21,8,10,13,5,0,9,7,7,None,None,None,D,None,None,None,None,50,30,60,70,20,10,45,Nomad Trooper,2,2,1,1,3,3,1,1,E,None,None,+40,None,None,None,None
James,Pirate,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1081990677140869281/1115805582172114954/23James.png,7,31,10,9,9,7,0,6,13,5,None,None,C,None,None,None,None,None,55,50,40,50,30,20,40,Berserker,4,1,1,1,2,2,3,1,None,None,+40,None,None,None,None,None
Niya,Dancer,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805582553788446/24Niya.png,1,22,1,2,12,1,4,11,5,5,None,None,None,None,E,None,None,None,75,25,10,70,30,65,80,,,,,,,,,,None,None,None,None,None,None,None,None
Ty,Soldier,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805583061303377/25Ty.png,10,31,13,8,11,9,1,4,13,5,None,C,None,None,None,None,None,None,60,65,20,40,35,30,30,Halberdier,4,2,1,2,2,2,1,1,None,+70,None,None,None,None,None,None
Agrippa,Shaman,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1081990677140869281/1115805583279403008/26Agrippa.png,10,25,10,7,10,8,11,8,8,5,None,None,None,None,None,None,None,C,70,45,40,40,30,30,25,Druid,4,0,0,3,2,2,1,1,None,None,None,None,E,None,None,+40
Shanks,Thief,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805583510097920/27Shanks.png,11,27,11,10,15,8,4,6,6,6,C,None,None,None,None,None,None,None,40,15,60,40,25,10,90,Assassin,3,1,0,0,2,2,0,0,None,None,None,None,None,None,None,None
Mide,Myrmidon,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805611947475004/28Mide.png,11,25,8,14,17,7,4,10,8,5,C,None,None,None,None,None,None,None,65,40,60,70,20,10,50,Swordmaster,4,3,0,0,2,1,1,1,+40,None,None,None,None,None,None,None
Alva,Mage,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805612203319296/29Alva.png,10,26,9,11,9,8,7,9,7,5,None,None,None,None,None,B,None,None,80,30,45,30,50,20,30,Sage,4,1,0,0,3,3,1,1,None,None,None,None,None,None,None,None
Darius,Mercenary,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805612501127229/30Darius.png,11,30,12,10,12,10,1,4,10,5,C,None,None,None,None,None,None,None,80,60,45,20,40,40,15,Hero,4,0,2,2,2,2,1,1,+40,None,E,None,None,None,None,None
Suzhen,Wyvern Rider,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805612769550376/31Suzhen.png,12,31,12,13,9,12,6,6,11,7,None,None,C,None,None,None,None,None,55,50,30,40,45,15,50,Wyvern Lord,4,0,2,2,0,2,1,1,None,E,+40,None,None,None,None,None
Dakini,Brigand,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805613021220944/32Dakini.png,12,29,10,14,15,9,4,8,11,5,None,None,C,None,None,None,None,None,40,30,45,60,20,30,50,Berserker,2,3,1,0,3,2,2,1,None,None,40,None,None,None,None,None
Fang,Nomad,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1081990677140869281/1115805613235118260/33Fang.png,7,24,9,9,11,7,6,3,5,7,None,None,None,C,None,None,None,None,55,50,55,60,25,30,55,Nomad Trooper,2,2,2,1,3,3,1,1,E,None,None,+40,None,None,None,None
Whitney,Pegasus Knight,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805613478400110/34Whitney.png,14,28,11,14,17,6,8,0,5,7,None,C,None,None,None,None,None,None,60,30,60,40,35,30,0,Falcoknight,5,2,0,0,2,2,1,1,E,+40,None,None,None,None,None,None
Vito,Warrior,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805613704888340/35Vito.png,1,44,18,11,14,12,5,8,13,6,None,None,B,B,None,None,None,None,90,50,40,45,25,30,30,,,,,,,,,,None,None,None,None,None,None,None,None
Egil,Wyvern Lord,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805613985910784/36Egil.png,1,38,17,15,13,16,4,8,12,8,None,C,C,None,None,None,None,None,75,60,50,20,60,5,25,,,,,,,,,,None,None,None,None,None,None,None,None
Kiri,Manakete,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1081990677140869281/1115805614250139689/37Kiri.png,1,25,2,0,10,6,6,4,5,6,None,None,None,None,None,None,None,None,150,95,80,65,130,40,40,,,,,,,,,,None,None,None,None,None,None,None,None
Jenna,Sage,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805633724301312/38Jenna.png,6,32,21,18,18,8,15,16,6,6,None,None,None,None,E,A,None,None,40,90,45,10,10,35,50,,,,,,,,,,None,None,None,None,None,None,None,None
Kathe,Halberdier,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805633929826416/39Kathe.png,8,33,15,19,23,13,7,7,11,6,None,A,None,None,None,None,None,None,95,50,50,85,40,40,25,,,,,,,,,,None,None,None,None,None,None,None,None
Dorothy,Bishop,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805634185670687/40Dorothy.png,1,32,16,12,18,9,11,12,7,6,None,None,None,None,C,None,C,None,60,50,30,60,5,10,50,,,,,,,,,,None,None,None,None,None,None,None,None
Arjun,Lord,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805634391195668/41Arjun.png,7,22,9,8,11,9,10,8,7,5,C,None,None,None,None,None,None,None,70,40,60,60,20,30,55,Master Lord,4,4,2,2,3,3,4,2,+110,C,C,C,None,None,None,None
Khan,Sniper,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805634613497857/42Khan.png,8,44,19,17,12,20,9,16,12,6,None,None,None,A,None,None,None,None,60,70,90,50,60,40,30,,,,,,,,,,None,None,None,None,None,None,None,None
Adda,Assassin,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805634819010620/43Adda.png,12,34,18,26,25,12,8,5,7,6,A,None,None,None,None,None,None,None,60,40,50,80,15,35,50,,,,,,,,,,None,None,None,None,None,None,None,None
Ardoome,General,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805635007758366/44Ardoome.png,8,42,18,12,15,22,7,7,16,5,C,A,C,A,None,None,None,None,150,60,50,80,40,35,50,,,,,,,,,,None,None,None,None,None,None,None,None
Durga,Hero,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805635280392332/45Durga.png,17,55,24,20,22,21,10,15,12,6,A,None,S,None,None,None,None,None,110,120,50,50,5,5,50,,,,,,,,,,None,None,None,None,None,None,None,None
Maya,Valkyrie,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1081990677140869281/1115805635511070820/46Maya.png,20,45,21,18,21,16,18,0,6,8,None,None,None,None,A,A,None,None,0,0,0,0,0,0,0,,,,,,,,,,None,None,None,None,None,None,None,None
