Name,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Partner 6,Partner 7,Starting Value 1,Starting Value 2,Starting Value 3,Starting Value 4,Starting Value 5,Starting Value 6,Starting Value 7,Growth 1,Growth 2,Growth 3,Growth 4,Growth 5,Growth 6,Growth 7
Ronaldo,Orion<:AffinAnima:1083548168672792697>,Francine<:AffinIce:1083548173190045817>,Eli<:AffinWind:1083548175928926208>,Arthur<:AffinLight:1083548171281641583>,Shanks<:AffinWind:1083548175928926208>,Adda<:AffinLight:1083548171281641583>,Arjun<:AffinFire:1083548172254720080>,20,0,20,0,0,0,0,3,1,2,2,3,4,4
Aislin,Shermie<:AffinFire:1083548172254720080>,Horton<:AffinLight:1083548171281641583>,Shanks<:AffinWind:1083548175928926208>,Adda<:AffinLight:1083548171281641583>,0,0,0,15,40,40,8,0,0,0,3,3,4,4,0,0,0
Fiana,Francine<:AffinIce:1083548173190045817>,Ashley<:AffinWind:1083548175928926208>,Whitney<:AffinLight:1083548171281641583>,Yet<:AffinDark:1083548169901707285>,Suzhen<:AffinThunder:1083548174637084703>,0,0,0,0,0,0,0,0,0,2,2,3,2,2,0,0
Horton,Aislin<:AffinAnima:1083548168672792697>,Mide<:AffinThunder:1083548174637084703>,Freesia<:AffinIce:1083548173190045817>,F!Tactician<:AffinAnima:1083548168672792697>,0,0,0,40,0,0,15,0,0,0,3,3,2,2,0,0,0
Yet,Francine<:AffinIce:1083548173190045817>,Dakini<:AffinIce:1083548173190045817>,Niya<:AffinIce:1083548173190045817>,Fiana<:AffinThunder:1083548174637084703>,0,0,0,10,30,10,0,0,0,0,3,2,2,2,0,0,0
Dale,Shanks<:AffinWind:1083548175928926208>,Kathe<:AffinLight:1083548171281641583>,James<:AffinAnima:1083548168672792697>,Kiri<:AffinAnima:1083548168672792697>,0,0,0,0,45,0,70,0,0,0,3,2,2,2,0,0,0
Chandra,Orion<:AffinAnima:1083548168672792697>,Hyle<:AffinThunder:1083548174637084703>,Ashley<:AffinWind:1083548175928926208>,Fang<:AffinAnima:1083548168672792697>,0,0,0,40,40,50,0,0,0,0,2,3,2,3,0,0,0
Freesia,Kathe<:AffinLight:1083548171281641583>,Horton<:AffinLight:1083548171281641583>,Kiri<:AffinAnima:1083548168672792697>,M!Tactician<:AffinAnima:1083548168672792697>,0,0,0,60,0,0,0,0,0,0,3,2,3,2,0,0,0
Sherie,Shermie<:AffinFire:1083548172254720080>,Hyle<:AffinThunder:1083548174637084703>,Darius<:AffinWind:1083548175928926208>,Kiri<:AffinAnima:1083548168672792697>,0,0,0,0,40,0,0,0,0,0,6,2,4,3,0,0,0
Ashley,Emma<:AffinWind:1083548175928926208>,Fiana<:AffinThunder:1083548174637084703>,Whitney<:AffinLight:1083548171281641583>,Chandra<:AffinDark:1083548169901707285>,Blair<:AffinIce:1083548173190045817>,0,0,40,0,0,50,20,0,0,2,2,3,2,2,0,0
Wren,Blair<:AffinIce:1083548173190045817>,Ardoome<:AffinWind:1083548175928926208>,Adda<:AffinLight:1083548171281641583>,Khan<:AffinIce:1083548173190045817>,Maya<:AffinAnima:1083548168672792697>,M!Tactician<:AffinAnima:1083548168672792697>,F!Tactician<:AffinAnima:1083548168672792697>,0,25,0,0,0,60,60,2,4,4,4,12,2,2
Raimon,Emma<:AffinWind:1083548175928926208>,Luca<:AffinIce:1083548173190045817>,Blair<:AffinIce:1083548173190045817>,Dorothy<:AffinLight:1083548171281641583>,Khan<:AffinIce:1083548173190045817>,Francine<:AffinIce:1083548173190045817>,0,0,20,55,60,0,0,0,2,2,2,2,4,2,0
Luca,Raimon<:AffinDark:1083548169901707285>,Niya<:AffinIce:1083548173190045817>,Fang<:AffinAnima:1083548168672792697>,Egil<:AffinFire:1083548172254720080>,0,0,0,20,2,5,0,0,0,0,2,3,2,3,0,0,0
James,Arthur<:AffinLight:1083548171281641583>,Dale<:AffinFire:1083548172254720080>,Mide<:AffinThunder:1083548174637084703>,0,0,0,0,55,0,0,0,0,0,0,2,2,2,0,0,0,0
Niya,Emma<:AffinWind:1083548175928926208>,Blair<:AffinIce:1083548173190045817>,Yet<:AffinDark:1083548169901707285>,Agrippa<:AffinAnima:1083548168672792697>,Ardoome<:AffinWind:1083548175928926208>,Luca<:AffinIce:1083548173190045817>,0,20,0,10,0,20,2,0,2,4,2,4,3,3,0
Ty,Dorothy<:AffinLight:1083548171281641583>,Mide<:AffinThunder:1083548174637084703>,Dakini<:AffinIce:1083548173190045817>,Darius<:AffinWind:1083548175928926208>,Adda<:AffinLight:1083548171281641583>,0,0,76,0,25,20,0,0,0,4,2,2,3,4,0,0
Agrippa,Niya<:AffinIce:1083548173190045817>,Shermie<:AffinFire:1083548172254720080>,Egil<:AffinFire:1083548172254720080>,Kiri<:AffinAnima:1083548168672792697>,0,0,0,0,54,0,0,0,0,0,4,2,3,3,0,0,0
Shanks,Ronaldo<:AffinDark:1083548169901707285>,Arthur<:AffinLight:1083548171281641583>,Aislin<:AffinAnima:1083548168672792697>,Adda<:AffinLight:1083548171281641583>,Dale<:AffinFire:1083548172254720080>,0,0,0,0,40,0,0,0,0,3,4,4,5,3,0,0
Mide,Orion<:AffinAnima:1083548168672792697>,Fang<:AffinAnima:1083548168672792697>,Horton<:AffinLight:1083548171281641583>,James<:AffinAnima:1083548168672792697>,Ty<:AffinDark:1083548169901707285>,Alva<:AffinLight:1083548171281641583>,0,0,0,0,0,0,0,0,3,2,3,2,2,3,0
Alva,Arthur<:AffinLight:1083548171281641583>,Mide<:AffinThunder:1083548174637084703>,Arjun<:AffinFire:1083548172254720080>,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0
Darius,Ty<:AffinDark:1083548169901707285>,Emma<:AffinWind:1083548175928926208>,Sherie<:AffinDark:1083548169901707285>,Dakini<:AffinIce:1083548173190045817>,Suzhen<:AffinThunder:1083548174637084703>,Kathe<:AffinLight:1083548171281641583>,Maya<:AffinAnima:1083548168672792697>,20,30,0,16,20,0,10,3,2,4,2,2,3,12
Suzhen,Francine<:AffinIce:1083548173190045817>,Egil<:AffinFire:1083548172254720080>,Darius<:AffinWind:1083548175928926208>,Fiana<:AffinThunder:1083548174637084703>,0,0,0,50,0,20,0,0,0,0,2,3,2,2,0,0,0
Dakini,Yet<:AffinDark:1083548169901707285>,Ty<:AffinDark:1083548169901707285>,Darius<:AffinWind:1083548175928926208>,Jenna<:AffinThunder:1083548174637084703>,Arjun<:AffinFire:1083548172254720080>,Durga<:AffinThunder:1083548174637084703>,0,30,25,16,60,0,60,0,2,2,2,2,4,5,0
Fang,Eli<:AffinWind:1083548175928926208>,Luca<:AffinIce:1083548173190045817>,Mide<:AffinThunder:1083548174637084703>,Chandra<:AffinDark:1083548169901707285>,Arjun<:AffinFire:1083548172254720080>,0,0,0,5,0,0,0,0,0,3,2,2,3,5,0,0
Whitney,Fiana<:AffinThunder:1083548174637084703>,Ashley<:AffinWind:1083548175928926208>,Vito<:AffinFire:1083548172254720080>,Kathe<:AffinLight:1083548171281641583>,F!Tactician<:AffinAnima:1083548168672792697>,0,0,0,0,0,0,45,0,0,3,3,3,3,2,0,0
Vito,Egil<:AffinFire:1083548172254720080>,Whitney<:AffinLight:1083548171281641583>,Jenna<:AffinThunder:1083548174637084703>,Hyle<:AffinThunder:1083548174637084703>,F!Tactician<:AffinAnima:1083548168672792697>,0,0,20,0,0,0,0,0,0,2,3,3,2,2,0,0
Egil,Suzhen<:AffinThunder:1083548174637084703>,Vito<:AffinFire:1083548172254720080>,Agrippa<:AffinAnima:1083548168672792697>,Luca<:AffinIce:1083548173190045817>,0,0,0,0,20,0,0,0,0,0,3,2,3,3,0,0,0
Kiri,Jenna<:AffinThunder:1083548174637084703>,Agrippa<:AffinAnima:1083548168672792697>,Sherie<:AffinDark:1083548169901707285>,Dale<:AffinFire:1083548172254720080>,Freesia<:AffinIce:1083548173190045817>,M!Tactician<:AffinAnima:1083548168672792697>,0,70,0,0,70,0,13,0,3,3,3,2,3,3,0
Jenna,Dakini<:AffinIce:1083548173190045817>,Vito<:AffinFire:1083548172254720080>,Khan<:AffinIce:1083548173190045817>,Kiri<:AffinAnima:1083548168672792697>,Durga<:AffinThunder:1083548174637084703>,M!Tactician<:AffinAnima:1083548168672792697>,F!Tactician<:AffinAnima:1083548168672792697>,60,0,70,70,10,13,13,2,3,3,3,5,3,3
Kathe,Freesia<:AffinIce:1083548173190045817>,Dale<:AffinFire:1083548172254720080>,Darius<:AffinWind:1083548175928926208>,Whitney<:AffinLight:1083548171281641583>,Maya<:AffinAnima:1083548168672792697>,0,0,60,45,0,0,0,0,0,3,2,3,3,12,0,0
Dorothy,Ty<:AffinDark:1083548169901707285>,Raimon<:AffinDark:1083548169901707285>,Hyle<:AffinThunder:1083548174637084703>,0,0,0,0,76,60,0,0,0,0,0,4,2,3,0,0,0,0
Arjun,Durga<:AffinThunder:1083548174637084703>,Orion<:AffinAnima:1083548168672792697>,Fang<:AffinAnima:1083548168672792697>,Ronaldo<:AffinDark:1083548169901707285>,Alva<:AffinLight:1083548171281641583>,Dakini<:AffinIce:1083548173190045817>,F!Tactician<:AffinAnima:1083548168672792697>,10,0,0,0,0,0,0,5,5,5,4,5,4,5
Khan,Wren<:AffinFire:1083548172254720080>,Raimon<:AffinDark:1083548169901707285>,Jenna<:AffinThunder:1083548174637084703>,0,0,0,0,0,0,70,0,0,0,0,4,4,3,0,0,0,0
Adda,Ronaldo<:AffinDark:1083548169901707285>,Aislin<:AffinAnima:1083548168672792697>,Shanks<:AffinWind:1083548175928926208>,Wren<:AffinFire:1083548172254720080>,Ty<:AffinDark:1083548169901707285>,0,0,0,8,0,0,0,0,0,4,4,5,4,4,0,0
Ardoome,Blair<:AffinIce:1083548173190045817>,Orion<:AffinAnima:1083548168672792697>,Wren<:AffinFire:1083548172254720080>,Niya<:AffinIce:1083548173190045817>,Emma<:AffinWind:1083548175928926208>,Eli<:AffinWind:1083548175928926208>,0,73,40,25,20,0,0,0,5,4,4,3,5,7,0
Durga,Shermie<:AffinFire:1083548172254720080>,Dakini<:AffinIce:1083548173190045817>,Arjun<:AffinFire:1083548172254720080>,Jenna<:AffinThunder:1083548174637084703>,M!Tactician<:AffinAnima:1083548168672792697>,0,0,0,60,10,10,0,0,0,5,5,5,5,5,0,0
Maya,Wren<:AffinFire:1083548172254720080>,Darius<:AffinWind:1083548175928926208>,Kathe<:AffinLight:1083548171281641583>,0,0,0,0,0,10,0,0,0,0,0,12,12,12,0,0,0,0
