Name,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Partner 6,Partner 7,Starting Value 1,Starting Value 2,Starting Value 3,Starting Value 4,Starting Value 5,Starting Value 6,Starting Value 7,Growth 1,Growth 2,Growth 3,Growth 4,Growth 5,Growth 6,Growth 7
Serah,Luke<:AffinWind:1082455517802287206>,Christine<:AffinWind:1082455517802287206>,Nancy<:AffinThunder:1082455516904706129>,0,0,0,0,62,79,61,0,0,0,0,21,112,21,0,0,0,0
Cale,Will<:AffinAnima:1082455515327635487>,Reilly<:AffinThunder:1082455516904706129>,Johann<:AffinAnima:1082455515327635487>,0,0,0,0,79,79,79,0,0,0,0,32,32,80,0,0,0,0
Brandon,Katie<:AffinThunder:1082455516904706129>,Nikko<:AffinIce:1082455062976155729>,Reid<:AffinFire:1082456363805970503>,0,0,0,0,81,79,79,0,0,0,0,22,24,112,0,0,0,0
Wade,Shelton<:AffinWind:1082455517802287206>,Nikko<:AffinIce:1082455062976155729>,Jordan<:AffinDark:1082455060455370883>,0,0,0,0,31,57,79,0,0,0,0,48,22,22,0,0,0,0
Nike,Emily<:AffinWind:1082455517802287206>,Moses<:AffinWind:1082455517802287206>,Kjetil<:AffinThunder:1082455516904706129>,0,0,0,0,31,79,79,0,0,0,0,48,112,80,0,0,0,0
Stephen,Meredith<:AffinThunder:1082455516904706129>,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel,Reid<:AffinFire:1082456363805970503>,Sarah<:AffinThunder:1082455516904706129>,Alyssa<:AffinFire:1082456363805970503>,0,0,0,0,79,61,79,0,0,0,0,112,21,112,0,0,0,0
Jordan,Jeremiah<:AffinIce:1082455062976155729>,Andrew<:AffinLight:1082456439785795684>,Wade<:AffinAnima:1082455515327635487>,0,0,0,0,61,61,79,0,0,0,0,21,21,22,0,0,0,0
Meredith,Stephen<:AffinAnima:1082455515327635487>,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0
Moses,Christine<:AffinWind:1082455517802287206>,Nike<:AffinDark:1082455060455370883>,Scott<:AffinFire:1082456363805970503>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Lydia,Joe<:AffinIce:1082455062976155729>,Ryan<:AffinAnima:1082455515327635487>,Alyssa<:AffinFire:1082456363805970503>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Alyssa,Lydia<:AffinIce:1082455062976155729>,Ariel<:AffinWind:1082455517802287206>,Sarah<:AffinThunder:1082455516904706129>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Christine,Moses<:AffinWind:1082455517802287206>,Serah<:AffinLight:1082456439785795684>,Arianna<:AffinIce:1082455062976155729>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Kjetil,Nike<:AffinDark:1082455060455370883>,Johann<:AffinAnima:1082455515327635487>,Alex<:AffinWind:1082455517802287206>,0,0,0,0,79,79,79,0,0,0,0,80,80,80,0,0,0,0
Johann,Cale<:AffinAnima:1082455515327635487>,Kjetil<:AffinThunder:1082455516904706129>,Kayla<:AffinLight:1082456439785795684>,0,0,0,0,79,79,79,0,0,0,0,80,80,80,0,0,0,0
Alex,Weston<:AffinWind:1082455517802287206>,Kjetil<:AffinThunder:1082455516904706129>,Michelle<:AffinFire:1082456363805970503>,0,0,0,0,79,79,79,0,0,0,0,80,80,80,0,0,0,0
