Name,HP,Str,Mag,Skl,Spd,Def,Res,Con,Mov,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Cap,Str Cap,Mag Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Weakness Types,Skills,Enemy Only?,Promotes,Promotion Class,HP Gains,Str Gains,Mag Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains,Special,Recursive,B-Sides Class 1A,HP Gains,Str Gains,Mag Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,New Sword,New Lance,New Axe,New Bow,New Staff,New Anima,New Light,New Dark,Note
Mage (M),22,1,6,4,4,2,5,6,5,None,None,None,None,None,D,None,E,60,10,24,21,20,16,21,20,Human,None,No,Yes,Sage (M),5,0,4,4,4,4,4,1,1,None,None,None,None,D,40,None,None,No,No,Dark Mage,0,0,0,0,0,0,0,1,0,None,None,None,None,None,LOSE,None,70,Can equip Elthani.
Mage (F),16,1,6,3,2,2,4,3,5,None,None,None,None,None,D,None,None,60,5,23,18,19,12,21,20,Human,None,No,Yes,Sage (F),10,0,10,10,3,3,3,1,1,None,None,None,None,D,40,None,None,Yes,No,Dancer,0,0,0,0,0,0,0,1,1,None,None,None,None,None,LOSE,None,None,Can equip Elthani.
Dark Mage,22,2,8,1,2,3,5,7,5,None,None,None,None,None,None,None,D,60,10,23,21,16,17,17,20,"Dark, Human",None,No,Yes,Sorceror,5,0,5,2,4,4,5,2,1,None,None,None,None,C,C,None,40,No,No,Troubadour (M),0,0,0,0,0,0,0,-2,2,None,None,None,None,D,None,None,LOSE,
Recruit1,18,1,0,3,1,0,0,6,5,None,D,None,None,None,None,None,None,60,20,20,20,20,20,20,20,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journeyman1,14,3,0,0,1,1,0,8,4,None,None,E,None,None,None,None,None,60,20,20,20,20,20,20,20,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupil1,13,1,1,0,1,0,3,5,4,None,None,None,None,None,E,None,None,60,20,20,20,20,20,20,20,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fighter,27,9,0,5,4,4,2,11,5,None,None,D,None,None,None,None,None,60,24,5,19,18,18,13,20,Human,None,No,Yes,Warrior,10,5,0,3,4,4,0,2,1,None,None,40,D,None,None,None,None,No,No,Mercenary (M),0,0,0,0,0,0,0,-2,0,D,None,LOSE,None,None,None,None,None,
Brigand,20,5,5,1,5,1,0,12,5,None,None,D,None,None,None,None,None,60,24,5,15,18,5,5,20,Human,None,Yes,Yes,Berserker,8,5,0,5,3,3,0,1,1,None,None,40,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,
Pirate,25,8,0,5,7,3,0,12,5,None,None,D,None,None,None,None,None,60,24,5,18,18,15,10,20,Human,None,No,Yes,Berserker,8,5,0,5,3,3,0,2,1,None,None,40,None,None,None,None,None,No,No,Soldier,0,0,0,0,0,0,0,-3,0,None,E,LOSE,None,None,None,None,None,
Light Mage,18,1,1,1,2,1,5,6,5,None,None,None,None,None,None,E,None,60,10,23,21,18,15,25,20,Human,None,No,Yes,Senator (M),5,0,4,4,4,4,4,1,1,None,None,None,None,C,None,30,None,No,No,Priest,0,0,0,0,0,0,0,-1,0,None,None,None,None,D,None,LOSE,None,Can equip Elthani.
Priest,21,1,3,4,4,0,6,5,5,None,None,None,None,D,None,None,None,60,10,24,18,18,15,25,20,Human,None,No,Yes,Emperor,12,8,7,7,6,7,6,5,1,A,A,A,A,150,A,A,A,No,No,Mage (M),0,0,0,0,0,0,0,-1,0,None,None,None,None,LOSE,D,None,E,
Pegasus Knight,20,6,1,5,7,4,5,5,7,None,D,None,None,None,None,None,None,60,18,15,22,22,16,22,25,Flying,Canto,No,Yes,Falcoknight,6,4,3,4,4,3,4,1,1,D,40,None,None,None,None,None,None,No,No,Axe Cavalier (F),0,0,0,0,0,0,0,-5,0,None,LOSE,D,None,None,None,None,None,
Troubadour (F),21,1,6,1,3,2,5,5,7,None,None,None,None,D,None,None,None,60,5,23,18,23,15,23,25,Cavalry,Canto,No,Yes,Mage Knight (F),4,5,4,3,3,4,4,1,1,D,None,None,None,None,C,None,None,No,No,Mercenary (F),0,0,0,0,0,0,0,3,-2,D,None,None,None,LOSE,None,None,None,
Troubadour (M),21,1,4,1,3,2,5,5,7,None,None,None,None,D,None,None,None,60,5,23,17,23,15,23,25,Cavalry,Canto,No,Yes,Mage Knight (M),4,5,4,4,3,3,4,3,1,D,None,None,None,None,C,None,None,No,No,Bigle,0,0,0,0,0,0,0,0,-1,None,None,None,None,LOSE,None,None,C,
Dancer,14,1,1,2,7,0,1,4,6,None,None,None,None,None,None,None,None,80,10,10,10,36,30,30,20,Human,Dance,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Mage (F),0,0,0,0,0,0,0,-1,-1,None,None,None,None,None,D,None,None,
Soldier,25,7,0,4,4,2,0,9,5,None,E,None,None,None,None,None,None,80,24,5,24,16,24,16,20,Human,None,No,Yes,Halberdier,4,4,3,5,4,3,4,1,1,None,40,None,None,None,None,None,None,No,No,Axe Armor,0,0,0,0,0,0,0,4,0,None,LOSE,D,None,None,None,None,None,
False Bigle,1,5,0,2,4,0,0,5,5,None,None,None,None,None,None,None,A,1,0,30,30,30,0,0,20,Flying,Watchful,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword Cavalier,22,5,0,6,7,4,4,8,6,D,None,None,None,None,None,None,None,60,20,15,22,22,19,21,20,Cavalry,Canto,No,Yes,Paladin (M),6,4,3,5,4,4,5,3,1,None,None,D,None,None,None,None,None,No,No,Boner (Bow),0,0,0,0,0,0,0,-1,-2,40,C,None,None,None,None,None,None,Sword Cavalier CANNOT use the B-Sides promotion item (though it is programmed to promote to Boner (Bow) if it could).
Boner (Sword),20,4,0,2,3,3,0,7,5,C,C,None,None,None,None,None,None,60,23,5,21,21,15,5,20,None,None,No,Yes,Bonerer (Sword),5,3,4,3,4,4,3,2,1,110,110,None,None,None,None,None,None,No,No,Lance Cavalier (M),0,0,0,0,0,0,0,2,2,LOSE,-40,None,None,None,None,None,None,
Boner (Bow),18,4,0,3,2,3,0,6,5,None,None,None,C,None,None,None,None,60,22,5,23,21,15,5,20,None,None,No,Yes,Bonerer (Bow),4,4,1,5,3,3,2,2,1,None,None,None,110,None,None,None,None,No,No,Boner (Sword),0,0,0,0,0,0,0,1,0,C,C,None,LOSE,None,None,None,None,
Axe Cavalier (F),22,7,0,6,6,6,2,8,7,None,None,D,None,None,None,None,None,60,22,15,21,19,21,16,20,Cavalry,Canto,No,Yes,Great Knight (F),6,4,2,5,3,3,4,2,0,D,D,40,None,None,None,None,None,No,No,Troubadour (F),0,0,0,0,0,0,0,-3,0,None,LOSE,None,None,D,None,None,None,
Axe Cavalier (M),23,7,0,6,5,6,1,10,7,None,None,D,None,None,None,None,None,60,23,15,20,18,22,16,20,Cavalry,Canto,No,Yes,Great Knight (M),6,4,2,5,3,4,3,5,0,D,D,40,None,None,None,None,None,No,No,Thief,0,0,0,0,0,0,0,-4,-1,D,None,LOSE,None,None,None,None,None,
Bigle,15,2,2,1,2,2,4,5,6,None,None,None,None,None,None,None,C,60,15,24,18,24,15,18,20,"Flying, Dark",Canto,No,Yes,Big Bigle,6,1,5,4,3,4,4,1,1,None,None,None,None,None,None,None,110,No,No,Light Mage,0,0,0,0,0,0,0,1,-1,None,None,None,None,None,None,E,LOSE,
Merchant,10,0,0,0,0,0,0,6,6,None,None,None,None,None,None,None,None,60,0,0,0,30,30,30,30,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo,22,1,0,4,7,1,0,6,6,None,None,None,None,None,None,None,None,80,10,10,40,40,10,10,20,None,"Steal, Locktouch, Steal+",No,Yes,Ricardo,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,Yes,Yes,Ricardo,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,Ricardo (the only valid user of this class) attacks with Ricardo items (guns).
Generic,10,0,0,0,0,0,0,8,5,None,None,None,None,None,None,None,None,60,0,0,0,30,20,20,20,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False Boner,1,4,0,3,2,0,0,6,5,None,None,None,C,None,None,None,None,1,22,20,23,21,0,0,20,None,None,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girlfriend(?),10,0,0,0,0,0,0,6,5,None,None,None,None,S,None,None,None,60,5,40,35,30,25,40,20,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burger King (Sword),29,12,4,9,8,14,7,15,6,C,None,None,None,None,None,None,None,80,36,20,34,28,36,28,25,"Armor, Human",Supply,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Burger King (Lance),5,3,3,3,2,3,5,-3,2,LOSE,C,None,None,None,None,None,None,
Burger King (Lance),26,10,0,10,10,10,10,12,8,None,C,None,None,None,None,None,None,80,32,20,32,32,32,32,20,Cavalry,Canto,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Burger King (Sword),6,4,4,4,4,4,4,3,-2,C,LOSE,None,None,None,None,None,None,
Paladin (M),23,7,2,4,7,6,3,11,8,D,D,None,None,None,None,None,None,80,32,15,33,29,29,27,25,Cavalry,Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Berserker,8,5,0,5,3,3,0,3,-2,LOSE,LOSE,C,None,None,None,None,None,
Paladin (F),23,6,2,6,11,7,6,9,8,None,D,None,D,None,None,None,None,80,30,15,34,32,27,30,25,Cavalry,Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Sniper (F),6,4,2,5,4,4,5,-3,-2,None,LOSE,None,40,None,None,None,None,
General,30,13,0,9,5,14,7,15,6,D,D+10,C,D,None,None,None,None,80,35,15,31,27,36,24,25,"Armor, Human",None,No,No,,,,,,,,,,,,,,,,,,,No,No,Bonerer (Sword),5,3,4,3,4,4,3,-6,0,150,140,LOSE,LOSE,None,None,None,None,
Hero (M),22,6,0,9,10,8,5,11,6,C,None,D,None,None,None,None,None,80,31,15,35,33,29,26,25,"Swordsman, Human",None,No,No,,,,,,,,,,,,,,,,,,,No,No,Wyvern Lord,5,4,2,4,3,4,3,0,1,LOSE,C,D,None,None,None,None,None,
Hero (F),22,6,0,10,11,6,7,9,6,C,None,D,None,None,None,None,None,80,30,20,26,33,27,28,25,"Swordsman, Human",None,No,No,,,,,,,,,,,,,,,,,,,No,No,Sage (F),10,0,10,10,3,3,3,-5,0,LOSE,None,LOSE,None,D,C,None,None,
Swordmaster,21,6,2,11,10,5,6,9,6,C,None,None,None,None,None,None,None,80,29,24,34,36,26,29,20,"Swordsman, Human",Crit Boost,No,No,,,,,,,,,,,,,,,,,,,No,No,Great Knight (M),6,4,2,5,3,4,3,4,1,-40,D,C,None,None,None,None,None,
Runeblade,19,6,2,11,12,4,7,9,6,C,None,None,None,None,C,C,C,80,28,32,36,36,24,32,20,"Swordsman, Human",Crit Boost,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Runeblade,5,2,5,4,3,3,4,0,0,None,None,None,None,None,None,None,None,
Assassin,16,3,1,1,9,2,0,8,7,C,None,None,None,None,None,None,None,80,27,27,35,36,27,27,20,Human,Lethality,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Assassin,3,1,0,0,0,2,2,0,0,None,None,None,None,None,None,None,None,
Swordmaster (F),21,6,1,11,10,5,6,9,6,C,None,None,None,None,None,None,None,80,29,22,34,36,26,29,20,Human,Lethality,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sniper (M),21,7,1,6,5,5,7,8,6,None,None,None,C,None,None,None,None,80,32,20,35,32,25,25,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Warrior,10,5,0,4,3,4,0,5,0,None,None,C,-40,None,None,None,None,
Sniper (F),19,6,1,6,7,5,8,6,6,None,None,None,C,None,None,None,None,80,31,27,36,33,27,31,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Senator (F),4,0,5,4,3,3,5,-1,0,None,None,None,LOSE,C,None,D,None,
Ranger (M),21,7,0,6,7,6,3,9,8,D,None,None,D,None,None,None,None,80,30,20,33,32,29,25,25,Cavalry,Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Halberdier,4,4,3,5,4,3,4,1,-2,LOSE,C,None,LOSE,None,None,None,None,
Ranger (F),21,6,0,6,7,5,4,8,8,D,None,None,D,None,None,None,None,80,30,20,34,32,27,28,25,Cavalry,Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Falcoknight,3,4,3,5,3,2,4,2,0,KEPT,C,None,LOSE,None,None,None,None,
Wyvern Lord,25,9,0,5,7,10,1,11,8,None,C,D,None,None,None,None,None,80,33,15,30,29,32,23,25,"Dragon, Flying, Human",Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Swordmaster,6,3,4,4,6,3,4,-2,-2,C,LOSE,LOSE,None,None,None,None,None,
Wyvern Lord (Sword),25,9,0,5,7,10,1,11,8,D,C,D,None,None,None,None,None,80,33,15,30,29,32,23,25,"Dragon, Flying, Human",Canto,No,No,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,
Dracopope,20,7,13,7,8,7,13,10,8,None,None,C,None,B,None,B,None,80,20,33,31,31,27,36,25,"Dragon, Flying, Human",Canto,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Dracopope,2,0,1,1,1,1,1,0,0,None,None,None,None,None,None,None,None,Can equip Elthani.
Sage (M),20,5,10,4,4,5,8,7,6,None,None,None,None,D,C,None,E,80,15,35,33,31,24,29,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Sorceror,5,0,5,2,4,4,5,2,0,None,None,None,None,40,KEPT,None,70,Can equip Elthani.
Sage (F),19,4,9,6,5,3,6,4,6,None,None,None,None,D,C,None,None,80,10,35,35,35,22,32,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Paladin (F),6,5,4,4,3,4,4,5,2,None,D,None,D,LOSE,LOSE,None,None,Can equip Elthani.
Mage Knight (M),23,8,8,7,6,3,5,8,8,D,None,None,None,D,C,None,None,80,29,32,31,29,27,31,25,Cavalry,Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Big Bigle,6,1,5,4,3,4,4,-2,-1,LOSE,None,None,None,LOSE,LOSE,None,A,Can equip Elthani.
Mage Knight (F),21,6,8,5,6,3,6,6,8,D,None,None,None,D,C,None,None,80,26,33,31,30,24,32,25,Cavalry,Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Hero (F),5,4,2,5,4,3,4,3,-2,40,None,D,None,LOSE,LOSE,None,None,Can equip Elthani.
Senator (M),21,2,5,4,6,5,10,7,6,None,None,None,None,C,None,D,None,80,15,32,29,29,23,36,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Emperor,12,8,7,7,6,7,6,3,0,A,A,A,A,110,A,150,A,Can equip Elthani.
Senator (F),19,4,4,5,4,2,9,5,6,None,None,None,None,C,None,D,None,80,15,34,31,32,23,36,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Ranger (F),3,4,3,5,3,2,4,3,2,D,None,None,D,LOSE,None,LOSE,None,Can equip Elthani.
Sorceror,19,6,10,3,4,6,8,9,6,None,None,None,None,C,C,None,C,80,15,35,30,29,27,33,20,"Dark, Human",None,No,No,,,,,,,,,,,,,,,,,,,No,No,Sorceror,5,0,5,2,4,4,5,2,0,None,None,None,None,40,KEPT,None,70,
Rogue,29,8,7,12,15,3,1,7,7,C,None,None,None,None,None,None,None,80,28,26,35,38,22,24,20,Human,Locktouch,No,No,,,,,,,,,,,,,,,,,,,No,No,Sniper (M),5,4,3,6,4,5,4,1,-2,LOSE,None,None,C,None,None,None,None,
Great Knight (M),21,8,0,4,6,11,3,13,7,D,D,C,None,None,None,None,None,80,34,10,30,27,34,22,25,"Cavalry, Armor",Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Rogue,3,3,4,5,4,3,4,-6,0,40,LOSE,LOSE,None,None,None,None,None,
Great Knight (F),21,8,0,6,6,11,3,10,7,D,D,C,None,None,None,None,None,80,33,10,31,28,33,23,25,"Cavalry, Armor",Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Mage Knight (F),4,5,4,3,3,4,4,-4,1,KEPT,D,C,None,LOSE,LOSE,None,None,
Journeyman2,28,5,0,5,0,1,0,8,6,None,None,C,None,None,None,None,None,80,40,30,35,30,30,25,20,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupil2,20,0,2,2,5,0,2,5,6,None,None,None,None,None,C,E,D,80,30,40,35,30,25,30,20,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recruit2,23,6,0,6,11,7,6,6,6,None,C,None,None,None,None,None,None,80,40,30,35,30,30,30,20,None,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior,31,12,0,6,7,7,4,13,6,None,None,C,D,None,None,None,None,80,36,10,31,29,25,18,25,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Wyvern Lord,5,4,2,4,3,4,3,0,1,LOSE,C,KEPT,None,None,None,None,None,
Berserker,31,14,0,6,10,4,0,14,6,None,None,C,None,None,None,None,None,80,36,20,27,32,20,18,25,Human,Crit Boost,No,No,,,,,,,,,,,,,,,,,,,No,No,Ranger,4,3,3,4,3,2,3,-5,-2,D,None,LOSE,D,None,None,None,None,
Emperor,30,15,15,15,15,15,15,10,6,A,A,A,A,A,A,A,A,80,35,35,35,35,35,35,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Sage (M),5,0,4,4,4,4,4,-2,0,LOSE,LOSE,LOSE,LOSE,-150,-110,LOSE,-180,Can equip Elthani.
Falcoknight,20,8,3,8,11,6,7,6,8,D,C,None,None,None,None,None,None,80,28,24,31,32,26,31,25,Flying,Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Great Knight (F),6,4,2,5,3,3,4,4,-1,KEPT,-40,C,None,None,None,None,None,
Horse,36,9,0,7,9,7,8,15,8,None,None,None,None,None,None,None,None,80,35,35,35,35,35,35,20,Cavalry,None,No,No,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,Horse attacks with Kick and Spit.
Puppetmaster,18,9,9,4,5,3,8,7,6,None,None,None,None,S,None,None,S,80,35,35,30,30,35,35,25,"Dark, Human",Nihil,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet,19,1,0,1,2,5,0,23,5,None,None,None,B,None,None,None,None,80,35,35,35,25,35,35,25,None,None,No,No,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,
Halberdier,25,7,0,9,7,7,5,10,6,None,C,None,None,None,None,None,None,80,31,15,35,31,29,29,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,No,No,General ,6,4,3,4,4,5,3,5,0,D,-30,C,D,None,None,None,None,
Bonerer (Sword),21,7,0,5,6,5,2,9,6,A,A,None,None,None,None,None,None,80,30,10,34,32,25,15,25,None,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Paladin (M),6,4,3,5,4,4,5,2,2,-150,-150,None,None,None,None,None,None,
Bonerer (Bow),21,6,0,6,5,5,2,8,6,None,None,None,None,A,None,None,None,80,29,10,35,33,25,15,20,None,None,No,No,,,,,,,,,,,,,,,,,,,No,No,Bonerer (Sword),5,3,4,3,4,4,3,1,0,A,A,None,LOSE,None,None,None,None,
Bard,31,8,3,5,6,2,3,7,5,None,None,None,None,E,E,E,E,80,30,30,30,36,30,30,25,None,Dance,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter Dog,16,7,0,10,13,2,0,6,7,None,None,None,None,None,None,None,None,80,32,10,32,36,24,18,20,None,None,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Butter Dog,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,Butter Dog attacks with the Buttery Bite.
Big Bigle,17,6,6,3,3,3,7,6,6,None,None,None,None,None,None,None,A,80,20,35,31,34,25,28,20,"Flying, Dark",Canto,No,No,,,,,,,,,,,,,,,,,,,No,No,Senator (M),5,0,4,4,4,4,4,1,-1,None,None,None,None,C,None,D,LOSE,
Blitz Lord,26,10,0,10,10,10,10,12,8,None,C,None,None,None,None,None,None,80,32,20,32,32,32,32,20,Cavalry,None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martyr,7,0,0,0,0,0,1,7,6,B,None,None,None,C,None,None,C,80,28,32,32,30,26,30,20,Human,None,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Martyr,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,
Sephiroth,21,6,2,11,10,5,6,9,7,S,None,None,None,None,None,None,None,80,32,32,36,36,32,32,20,"Swordsman, Human",None,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
