Name,Class,Affinity,Portrait,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains
Cale,Berserker,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1043928901610643456/1081722018833117294/7s_mug27.png,5,55,24,11,11,7,5,8,16,6,None,None,B,None,None,None,None,None,140,50,25,25,10,15,10,None,,,,,,,,,None,None,None,None,None,None,None,None
Kjetil,Mercenary,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721941825691788/7s_mug01.png,10,28,11,12,14,6,3,12,10,5,C,None,None,None,None,None,None,None,85,60,45,50,40,15,30,Hero,3,3,3,2,2,2,2,1,+40,None,C,None,None,None,None,None
Nike,Swordmaster,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722018598232206/7s_mug26.png,3,35,14,20,19,7,6,13,9,6,A,None,None,None,None,None,None,None,90,55,45,45,15,15,25,None,,,,,,,,,None,None,None,None,None,None,None,None
Ariel,Bow Thief,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722019051229194/7s_mug28.png,8,21,7,11,14,3,9,7,5,6,None,None,None,D,None,None,None,None,70,40,55,55,20,40,45,Assassin,3,3,3,1,2,3,3,0,C,None,None,+70,None,None,None,None
Jordan,Dark Mage,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722019319656588/7s_mug29.png,9,25,8,11,11,3,10,5,8,5,None,None,None,None,None,None,None,C,70,45,55,55,15,50,25,Dark Knight,2,2,1,1,2,2,5,2,None,None,None,None,E,None,None,+40
Johann,Fighter,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1043928901610643456/1081722083547037706/7s_mug30.png,10,32,16,9,10,4,6,9,11,5,None,None,C,None,None,None,None,None,95,60,30,60,25,20,40,Warrior,3,2,3,3,2,2,2,1,None,None,+40,C,None,None,None,None
Meredith,Night Wing,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722083765125160/7s_mug31.png,15,36,19,19,25,9,18,12,10,8,None,None,None,None,None,A,None,S,55,20,30,30,20,35,30,None,,,,,,,,,None,None,None,None,None,None,None,None
Alex,Lance Knight,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722084020998224/7s_mug32.png,10,30,12,11,11,7,9,9,10,7,None,C,None,None,None,None,None,None,75,50,40,60,40,40,25,Light Paladin,2,2,1,1,2,2,2,1,D,None,None,None,None,None,None,None
Kenneth,Champion,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722084482371635/7s_mug34.png,20,65,30,26,22,25,20,2,15,6,S,None,None,None,None,None,None,None,95,60,30,40,25,20,25,None,,,,,,,,,None,None,None,None,None,None,None,None
Moses,Griffon Knight,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722084926947358/7s_mug36.png,11,43,20,18,15,12,7,13,12,8,None,A,None,A,None,None,None,None,85,50,50,25,35,40,20,None,,,,,,,,,None,None,None,None,None,None,None,None
Lydia,Warrior,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722084297818142/7s_mug33.png,7,44,17,15,17,13,4,13,16,6,None,None,S,C,None,None,None,None,95,55,50,30,25,20,20,None,,,,,,,,,None,None,None,None,None,None,None,None
Alyssa,Assassin,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722084708859965/7s_mug35.png,6,32,13,18,22,7,15,13,9,6,A,None,None,B,None,None,None,None,60,25,40,50,25,70,45,None,,,,,,,,,None,None,None,None,None,None,None,None
Christine,Valkyrie,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722085145071756/7s_mug37.png,6,29,9,11,23,6,14,15,8,7,None,None,None,None,D,None,A,None,75,30,40,55,15,30,50,None,,,,,,,,,None,None,None,None,None,None,None,None
