Name,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Partner 6,Partner 7,Starting Value 1,Starting Value 2,Starting Value 3,Starting Value 4,Starting Value 5,Starting Value 6,Starting Value 7,Growth 1,Growth 2,Growth 3,Growth 4,Growth 5,Growth 6,Growth 7
Will,Nancy<:AffinThunder:1083548174637084703>,Keegan<:AffinDark:1083548169901707285>,Cale<:AffinAnima:1083548168672792697>,0,0,0,0,61,79,79,64,5,0,0,21,21,32,4,3,0,0
Serah,Luke<:AffinWind:1083548175928926208>,Christine<:AffinWind:1083548175928926208>,Nancy<:AffinThunder:1083548174637084703>,0,0,0,0,62,79,61,0,0,0,0,21,112,21,0,0,0,0
Cale,Will<:AffinAnima:1083548168672792697>,Reilly<:AffinThunder:1083548174637084703>,Johann<:AffinAnima:1083548168672792697>,0,0,0,0,79,79,79,0,0,0,0,32,32,80,0,0,0,0
Brandon,Katie<:AffinThunder:1083548174637084703>,Nikko<:AffinIce:1083548173190045817>,Reid<:AffinFire:1083548172254720080>,0,0,0,0,81,79,79,0,0,0,0,22,24,112,0,0,0,0
Wade,Shelton<:AffinWind:1083548175928926208>,Nikko<:AffinIce:1083548173190045817>,Jordan<:AffinDark:1083548169901707285>,0,0,0,0,31,57,79,0,0,0,0,48,22,22,0,0,0,0
Nike,Emily<:AffinWind:1083548175928926208>,Moses<:AffinWind:1083548175928926208>,Kjetil<:AffinThunder:1083548174637084703>,0,0,0,0,31,79,79,0,0,0,0,48,112,80,0,0,0,0
Stephen,Meredith<:AffinThunder:1083548174637084703>,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel,Reid<:AffinFire:1083548172254720080>,Sarah<:AffinThunder:1083548174637084703>,Alyssa<:AffinFire:1083548172254720080>,0,0,0,0,79,61,79,0,0,0,0,112,21,112,0,0,0,0
Jordan,Jeremiah<:AffinIce:1083548173190045817>,Andrew<:AffinLight:1083548171281641583>,Wade<:AffinAnima:1083548168672792697>,0,0,0,0,61,61,79,0,0,0,0,21,21,22,0,0,0,0
Meredith,Stephen<:AffinAnima:1083548168672792697>,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0
Moses,Christine<:AffinWind:1083548175928926208>,Nike<:AffinDark:1083548169901707285>,Scott<:AffinFire:1083548172254720080>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Lydia,Joe<:AffinIce:1083548173190045817>,Ryan<:AffinAnima:1083548168672792697>,Alyssa<:AffinFire:1083548172254720080>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Alyssa,Lydia<:AffinIce:1083548173190045817>,Ariel<:AffinWind:1083548175928926208>,Sarah<:AffinThunder:1083548174637084703>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Christine,Moses<:AffinWind:1083548175928926208>,Serah<:AffinLight:1083548171281641583>,Arianna<:AffinIce:1083548173190045817>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Kjetil,Nike<:AffinDark:1083548169901707285>,Johann<:AffinAnima:1083548168672792697>,Alex<:AffinWind:1083548175928926208>,0,0,0,0,79,79,79,0,0,0,0,80,80,80,0,0,0,0
Johann,Cale<:AffinAnima:1083548168672792697>,Kjetil<:AffinThunder:1083548174637084703>,Kayla<:AffinLight:1083548171281641583>,0,0,0,0,79,79,79,0,0,0,0,80,80,80,0,0,0,0
Alex,Weston<:AffinWind:1083548175928926208>,Kjetil<:AffinThunder:1083548174637084703>,Michelle<:AffinFire:1083548172254720080>,0,0,0,0,79,79,79,0,0,0,0,80,80,80,0,0,0,0
