Name,Class,Portrait,Affinity,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Hp Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotes,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains,Promotes 2,Promotion Class 2,HP Gains 2,Atk Gains 2,Skl Gains 2,Spd Gains 2,Def Gains 2,Res Gains 2,Con Gains 2,Mov Gains 2,Sword Gains 2,Lance Gains 2,Axe Gains 2,Bow Gains 2,Staff Gains 2,Anima Gains 2,Light Gains 2,Dark Gains 2,Promotes 3,Promotion Class 3,HP Gains 3,Atk Gains 3,Skl Gains 3,Spd Gains 3,Def Gains 3,Res Gains 3,Con Gains 3,Mov Gains 3,Sword Gains 3,Lance Gains 3,Axe Gains 3,Bow Gains 3,Staff Gains 3,Anima Gains 3,Light Gains 3,Dark Gains 3
Alessia,Falcoknight,0x50,Fire,18,46,18,22,25,14,18,18,9,8,S,A,None,None,None,None,None,None,60,20,30,50,15,20,50,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Geirhart,Journeyman,0xBE,Fire,1,18,4,4,4,2,4,5,8,5,None,None,E,None,None,None,None,None,75,40,50,50,25,45,35,Yes,Fighter,2,2,1,0,0,1,3,0,None,None,30,None,None,None,None,None,Yes,Pirate,2,2,0,1,1,0,2,0,None,None,30,None,None,None,None,None,Yes,Journeyman,2,0,2,0,2,2,0,0,None,None,30,None,None,None,None,None
Luan,Gorgon,0xBF,Dark,1,26,5,14,13,2,5,10,11,6,None,None,None,None,None,None,None,A,60,30,60,50,20,30,35,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Vectar,Myrmidon,0xC0,Ice,19,22,9,20,12,7,8,10,9,5,A,None,None,None,None,None,None,None,30,20,35,15,15,40,80,Yes,Swordmaster,5,2,0,0,2,1,1,1,40,None,None,None,None,None,None,None,Yes,Assassin,3,1,0,0,2,2,0,1,None,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Giroux,Soldier,0xC1,Ice,6,24,10,7,9,6,2,7,12,5,None,C,None,None,None,None,None,None,70,55,25,45,35,0,30,Yes,General,4,2,2,3,2,3,2,0,E,70,E,None,None,None,None,None,Yes,Halberdier,4,2,2,2,2,2,2,1,None,70,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Kim,Cavalier,0xC2,Ice,8,26,6,5,6,12,8,8,8,7,E,C,None,None,None,None,None,None,65,30,25,45,55,45,55,Yes,Paladin,1,1,1,2,1,2,0,1,30,None,None,None,None,None,None,None,Yes,Great Knight,3,1,1,2,2,2,1,-1,None,None,D,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Bloody Jeb,Brigand,0xC3,Thunder,10,33,12,7,16,0,0x00,7,11,5,None,None,B,None,None,None,None,None,75,45,10,30,2,2,35,Yes,Berserker,4,1,1,1,2,2,3,1,None,None,40,None,None,None,None,None,Yes,Warrior,3,1,2,0,3,3,2,1,None,None,40,E,None,None,None,None,No,,,,,,,,,,,,,,,,,
Arkell,Soldier,0xC4,Fire,5,32,9,10,10,7,4,8,12,5,None,B,None,None,None,None,None,None,80,50,40,50,30,20,40,Yes,General,4,2,2,3,2,3,2,0,E,70,E,None,None,None,None,None,Yes,Halberdier,4,2,2,2,2,2,2,1,None,70,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Srikhandi,Ranger,0xC5,Wind,2,31,11,14,14,8,9,8,9,7,C,None,None,B,None,None,None,None,70,40,45,50,25,30,50,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Flint,Priest,0xC6,Light,10,27,8,7,10,4,12,9,6,5,None,None,None,None,A,None,None,None,50,35,60,75,10,75,20,Yes,Bishop,3,2,1,0,3,2,2,1,None,None,None,None,40,None,D,None,Yes,Sage,4,1,0,0,3,3,2,1,None,None,None,None,None,C,D,None,No,,,,,,,,,,,,,,,,,
Queijo,Druid,0xC7,Ice,17,25,17,12,13,5,20,11,5,6,None,None,None,None,S,C,None,A,50,15,25,15,5,20,15,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Clothilde,Falcoknight,0xC8,Wind,5,32,14,18,19,10,16,12,9,8,A,B,None,None,None,None,None,None,60,30,35,40,25,40,40,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Delano,Cavalier,0xC9,Anima,15,30,13,13,11,9,5,0,10,7,C,B,None,None,None,None,None,None,80,50,45,40,25,25,0,Yes,Paladin,2,1,1,1,2,1,2,1,30,None,None,None,None,None,None,None,Yes,Great Knight,3,2,1,2,2,1,4,-1,None,None,D,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Liam,Archer,0x12,Wind,10,27,12,12,9,7,1,8,7,5,None,None,None,D,None,None,None,None,75,50,40,30,30,40,15,Yes,Sniper,3,1,2,2,2,3,1,1,None,None,None,40,None,None,None,None,Yes,Ranger,3,2,1,1,3,3,2,1,D,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Alderich,Pupil,,Wind,10,35,12,19,15,8,5,7,12,6,None,None,None,None,None,A+30,A+30,A+30,50,50,75,30,30,15,30,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Strontium,Hero,,Thunder,10,38,14,17,18,13,9,7,11,6,S,None,A,None,None,None,None,None,60,40,60,40,15,25,30,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
