Name,Class,Affinity,Portrait,Lv,HP,Str,Mag,Skl,Spd,Luck,Def,Res,Con,Mov,Sword,Lance,Axe,Bow,Dagger,Staff,Anima,Dark,HP Growth,Str Growth,Mag Growth,Skl Growth,Spd Growth,Luck Growth,Def Growth,Res Growth,Skills,Promotes,Promotion Class,HP Gains,Str Gains,Mag Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Dagger Gains,Staff Gains,Anima Gains,Dark Gains,Str Cap,Mag Cap,Skl Cap,Spd Cap,Def Cap,Res Cap
Stelara,Cleric,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169588586713118/Portrait_Editor_lots.gba_707_Stelara_8ACC88_trim.png?ex=6842e698&is=68419518&hm=8a3a57396976e4bff60c8dc46e32dc70c87b2cdbd2c29e8e03702d1a85f06f95&,1,19,4,5,11,10,11,2,9,4,5,None,None,None,None,E,D,None,None,50,20,30,35,45,50,10,30,Staff Master (Bishop),Yes,Bishop,2,1,3,2,2,0,2,1,1,None,None,None,None,30,30,None,None,15,26,24,26,21,30
Osman,Archer,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169642059763824/Portrait_Editor_lots.gba_1913_Osman_8ACDD8_trim.png?ex=6842e6a4&is=68419524&hm=f6771f6b801177ac4c88ca2816ae5d0787fd5ff4fcddf5037ec2c3d53781e4ba&,4,26,12,0,16,7,8,7,0,9,5,None,None,None,C,None,None,None,None,70,55,5,60,20,35,20,5,Crit Boost (Sniper),Yes,Sniper,3,3,0,3,1,2,0,2,1,None,None,None,30,None,None,None,None,28,21,30,26,27,21
William,Armor Knight,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169642324131850/Portrait_Editor_lots.gba_2014_William_8ACDF4_trim.png?ex=6842e6a5&is=68419525&hm=1d1e0ec6e138577525357af1290752f9e693b221af1764e687d45fcedc2ac3d7&,7,31,8,10,15,5,9,10,5,16,5,None,None,D,None,None,None,None,None,75,15,50,55,10,50,15,25,,Yes,General,3,0,2,4,0,2,3,1,1,None,None,30,None,None,None,C,None,20,28,28,22,22,30
Carley,Mage,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169642898886746/Portrait_Editor_lots.gba_2216_Carley_8ACE2C_trim.png?ex=6842e6a5&is=68419525&hm=8a6c2baa83f8781b758120477ed9eb700dbd7b926b2d9941213c0123daa7ffbc&,4,28,0,11,11,11,14,3,8,7,5,None,None,None,None,None,None,D,None,60,0,45,35,40,55,15,25,Locktouch,Yes,Sage,3,0,2,3,2,2,1,1,1,None,None,None,None,None,D,30,None,10,28,30,26,22,24
Isabella,Troubadour,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169702332043374/Portrait_Editor_lots.gba_2519_Isabella_8ACE80_trim.png?ex=6842e6b3&is=68419533&hm=1579641303dc4aca681ad58b1a6a84bb415e8a708e1c314e49dea90c09cf5920&,6,22,5,8,6,19,15,2,13,5,7,None,None,None,None,C,E,None,None,55,25,25,30,55,40,10,35,"Canto, Staff Master (Valkyrie",Yes,Valkyrie,2,3,1,2,2,2,2,1,1,None,None,None,None,30,30,None,None,15,25,24,28,24,28
Layne,Myrmidon,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169702604800090/Portrait_Editor_lots.gba_261A_Layne_8ACE9C_trim.png?ex=6842e6b3&is=68419533&hm=3f009211d2956b6ed38a6fca99a5bb0b60d9802b6f1265b07ceaaec9cfb637eb&,5,24,11,1,14,18,6,4,0,7,5,B,None,None,None,None,None,None,None,85,35,0,40,55,35,20,5,"Covert Stance, Crit Boost (Swordmaster)",Yes,Swordmaster,2,3,2,2,3,0,1,2,1,30,None,None,None,None,None,None,None,24,20,29,30,22,23
Phaedrus,Soldier,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169703179157734/Portrait_Editor_lots.gba_271B_Phaedrus_8ACEB8_trim.png?ex=6842e6b3&is=68419533&hm=efe2a9157a4caaa12075eb9d26573978e6e7253b951fd318ac759507486b4bd1&,1,22,7,1,12,8,11,5,1,13,5,None,C,None,None,None,None,None,None,80,55,10,65,35,45,25,15,"Critical Force, Crit Boost (Halberdier)",Yes,Halberdier,3,3,1,2,3,3,2,1,1,None,30,None,None,None,None,None,None,26,21,30,24,22,24
Lucette,Cavalier,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169589786280076/Portrait_Editor_lots.gba_110B_Lucette_8ACCF8_trim.png?ex=6842e698&is=68419518&hm=8d0b8a84d22974526f0647fa7cd3416b19aa54af9af1604d992696c7b983e561&,10,29,13,0,12,15,8,6,6,8,7,C,E,None,None,None,None,None,None,65,30,0,45,50,35,20,35,Canto,Yes,Paladin,2,2,1,2,3,1,2,1,1,30,30,None,None,None,None,None,None,25,21,28,26,24,25
Millie,Performer,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169705087701022/Portrait_Editor_lots.gba_3220_Millie_8ACF44_trim.png?ex=6842e6b4&is=68419534&hm=a3e34a688615a33977c3e8312531533e0427007eb56365b67e5225914a1e5f69&,8,24,1,7,13,17,16,3,9,6,5,None,None,None,None,None,None,E,E,30,5,40,40,80,75,15,45,Play,No,,,,,,,,,,,None,None,None,None,None,None,None,None,10,20,20,30,24,26
Gerard,Sage,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169640889815051/Portrait_Editor_lots.gba_130D_Gerard_8ACD30_trim.png?ex=6842e6a4&is=68419524&hm=9ded5a9974c89b37c35c8aa9d42dd2d36868e66778d7c9705896790a52439c46&,1,33,1,18,14,11,10,8,8,7,6,None,None,None,None,None,B,C,None,75,0,40,35,40,25,25,20,"Canto (Strategist), Staff Savant (Strategist)",Yes,Strategist,2,0,0,3,1,1,1,1,1,None,None,None,None,None,40,None,None,10,28,30,26,22,24
Coral,Pegasus Knight,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169704441778237/Portrait_Editor_lots.gba_301E_Coral_8ACF0C_trim.png?ex=6842e6b3&is=68419533&hm=ff17784f1f3a83a715ad5c0b94fbf8da4221114c855cf4fe3c147bbfbf689563&,10,33,13,2,13,15,7,10,5,8,7,None,C,None,None,None,None,None,None,90,40,10,30,40,25,30,10,Canto,Yes,Falcoknight,3,2,2,2,2,2,2,1,1,C,30,None,None,None,None,None,None,22,24,25,29,22,27
Gabriel,Ballistician,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169704165081218/Portrait_Editor_lots.gba_291D_Gabriel_8ACEF0_trim.png?ex=6842e6b3&is=68419533&hm=78e40e96ef7bfebe7d31effaba22e3196cb8891cc97c7feccdd21ddab7763db3&,12,35,15,6,18,3,4,12,0,20,3,None,None,None,C,None,None,None,None,95,50,20,75,10,15,30,0,,No,,,,,,,,,,,None,None,None,None,None,None,None,None,20,20,30,10,20,20
Erland,Halberdier,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169747726995526/Portrait_Editor_lots.gba_3523_Erland_8ACF98_trim.png?ex=6842e6be&is=6841953e&hm=08ec584be8c683b29d328dd99d57327af2f594b78ab2de056b5691d920e3b6dd&,1,36,15,13,21,16,10,12,12,12,6,None,A,None,None,None,None,None,None,65,25,45,45,30,30,15,20,Fabricate,No,,,,,,,,,,,None,None,None,None,None,None,None,None,26,21,30,24,22,24
Kai,Bow Rider,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169704819396618/Portrait_Editor_lots.gba_311F_Kai_8ACF28_trim.png?ex=6842e6b3&is=68419533&hm=3e8b485db47ac18068576baa5bf42088169882053ae89db058c83378ca40e44a&,11,26,13,4,14,16,7,7,8,9,7,None,None,None,C,None,None,None,None,75,35,20,50,45,25,15,25,"Savior, Canto",Yes,Bow Knight,3,2,1,2,3,1,0,1,1,C,None,None,30,None,None,None,None,23,21,29,27,21,22
Salathiel,Thief,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169703808438402/Portrait_Editor_lots.gba_281C_Salathiel_8ACED4_trim.png?ex=6842e6b3&is=68419533&hm=f937f1b883c431defa19b54adf5a3b58f92d07b3d39ffef684dc5277fd3f2f7f&,12,29,9,1,14,17,8,5,1,6,6,None,None,None,None,B,None,None,None,85,25,0,45,65,35,15,5,Steal,Yes,Assassin,2,2,1,1,2,1,2,2,1,None,None,None,C,30,None,None,None,15,20,30,30,20,20
Armelle,Gunner,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169705377239110/Portrait_Editor_lots.gba_3321_Armelle_8ACF60_trim.png?ex=6842e6b4&is=68419534&hm=735a089927a3bb9e126186322f42d13916c73b73039abce721396629b39ccdce&,9,33,13,0,16,15,13,8,9,4,6,None,None,None,None,None,None,None,None,75,35,0,55,35,35,25,25,,No,,,,,,,,,,,None,None,None,None,None,None,None,None,27,20,30,25,21,22
Francis,Swordmaster,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169750440579173/Portrait_Editor_lots.gba_422A_Francis_8AD05C_trim.png?ex=6842e6be&is=6841953e&hm=9b3152347ecf556d6050610b07b3f7bc2ecb2be5d407248478e294a1c61e06ed&,6,19,14,12,26,28,8,6,4,7,6,A,None,None,None,None,None,None,None,45,25,10,30,45,20,10,5,"Title Defense, Crit Boost",No,,,,,,,,,,,None,None,None,None,None,None,None,None,24,20,29,30,22,23
Royce,Wyvern Rider,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169702000558162/Portrait_Editor_lots.gba_3422_Royce_8ACF7C_trim.png?ex=6842e6b3&is=68419533&hm=de68063ef65235af9d844b9267d064f9e7bd282e0567910e01e8d300be10498a&,14,33,16,0,12,13,7,13,0,13,7,None,None,B,None,None,None,None,None,90,60,0,30,30,30,40,0,Canto,Yes,Dragonlord,4,2,0,2,2,2,0,1,1,None,C,30,None,None,None,None,None,30,20,24,21,27,21
Solene,Witch,<:AffinAnima:1083548168672792697>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169748767051817/Portrait_Editor_lots.gba_3826_Solene_8ACFEC_trim.png?ex=6842e6be&is=6841953e&hm=7a30f0eeb4cd1e07e0ad11e2fddd9f7dc8d89873c4ff949e80ae144cdc961bdf&,4,32,0,12,12,26,0,6,23,7,7,None,None,None,None,None,B,None,C,55,0,50,25,70,0,5,35,"Staff Master, Canto",No,,,,,,,,,,,None,None,None,None,None,None,None,None,20,22,22,28,20,30
Edmund,Hero,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169642617864232/Portrait_Editor_lots.gba_2115_Edmund_8ACE10_trim.png?ex=6842e6a5&is=68419525&hm=f50b3e8942369772bb649bb953258f73a9f0b9d77a2e69e622c6ca8e9376bed3&,1,44,15,3,20,21,12,10,2,10,6,A,None,D,None,None,None,None,None,80,30,0,50,45,25,25,10,,No,,,,,,,,,,,None,None,None,None,None,None,None,None,25,20,30,27,25,20
Hiram,Warrior,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169747320012810/Portrait_Editor_lots.gba_4830_Hiram_8AD104_trim.png?ex=6842e6be&is=6841953e&hm=c709d090d7d64e98708cbd5e120d61100ab6fb7af3e079e867d4561d47c5e6f9&,5,40,23,0,19,13,6,8,1,15,6,None,None,A,B,None,None,None,None,95,45,0,50,25,25,25,15,Wrath,No,,,,,,,,,,,None,None,None,None,None,None,None,None,30,20,28,26,23,20
Sentinel,Battleship,<:AffinAnima:1083548168672792697>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169588913733705/Portrait_Editor_lots.gba_808_T.Head_8ACCA4_trim.png?ex=6842e698&is=68419518&hm=a93c725ae10aadde68dc5a772e48a4ce44bca8f45510708156e4d77d8600b70a&,13,54,19,2,22,2,6,21,6,25,5,None,None,None,S,None,None,None,None,125,65,0,60,15,15,30,20,,No,,,,,,,,,,,None,None,None,None,None,None,None,None,27,22,30,22,30,21
Cybil,Adventurer,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169641447526612/Portrait_Editor_lots.gba_150F_Cybil_8ACD68_trim.png?ex=6842e6a4&is=68419524&hm=a6771fd7318aaae53dc72c2498e67536224d6c97c7276ef6fb3a02c053b92be4&,1,31,10,14,14,21,17,7,18,9,7,None,None,None,S,None,S,None,None,50,10,50,40,50,65,5,45,Shade,Yes,Ice Dragon,0,-6,11,2,5,-3,15,7,-1,None,None,None,None,None,None,None,None,24,24,27,29,23,23
Venetia,Druid,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169750755278938/Portrait_Editor_lots.gba_432B_Venetia_8AD078_trim.png?ex=6842e6be&is=6841953e&hm=8232fdeeafbc24edddf12b7b30cc6ce4d5738d98c0045da69515a21f6332f295&,3,32,0,22,12,13,9,9,12,9,6,None,None,None,None,None,D,None,A,70,0,40,40,35,25,30,15,Chaos Shield,No,,,,,,,,,,,None,None,None,None,None,None,None,None,20,29,26,26,21,28
Valerie,Wolf Knight,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169641208315914/Portrait_Editor_lots.gba_140E_Valerie_8ACD4C_trim.png?ex=6842e6a4&is=68419524&hm=624435d371f034fd6da518be066608d2955dc6a06e45fe30bf6ac4f7870df2ec&,4,32,12,4,19,23,8,8,13,7,7,A,None,None,None,A,None,None,None,65,35,25,50,75,10,10,25,Steal,No,,,,,,,,,,,None,None,None,None,None,None,None,None,15,20,30,30,20,20
Werner,Dragon King,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169748133711872/Portrait_Editor_lots.gba_3624_Werner_8ACFB4_trim.png?ex=6842e6be&is=6841953e&hm=76cec2a12a1b284dad8bc37fc7f594e64677eb1507fe8a12327cd76c50cf233e&,8,38,18,14,17,10,14,14,8,15,8,None,None,S,None,None,None,None,S,80,60,40,20,10,10,25,10,Canto,Yes,Demon Dragon,0,12,-12,4,0,16,-7,4,-2,None,None,None,None,None,None,None,None,30,25,27,20,30,20
Reynard,Gunner,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169748456935474/Portrait_Editor_lots.gba_3725_Reynard_8ACFD0_trim.png?ex=6842e6be&is=6841953e&hm=4eff22b232613d082cd3a520b1973289e5e91b2ffc28097f6cd77a5e9876f579&,22,35,19,0,22,7,5,13,0,14,6,None,None,None,None,None,None,None,None,80,45,0,75,15,10,25,5,,No,,,,,,,,,,,None,None,None,None,None,None,None,None,27,20,28,20,29,20
Ardal,Paladin,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169640323317760/Portrait_Editor_lots.gba_2317_Ardal_8ACE48_trim.png?ex=6842e6a4&is=68419524&hm=7eaba6254b244462b9502fadd19f07571016a167dfcff3245f419cbe75ff656c&,9,39,18,12,17,17,10,11,10,10,8,B,A,None,None,None,None,None,None,80,25,15,30,30,20,20,10,Canto,No,,,,,,,,,,,None,None,None,None,None,None,None,None,25,21,28,26,24,25
Rhodney,Ninja,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169749719158857/Portrait_Editor_lots.gba_4028_Rhodney_8AD024_trim.png?ex=6842e6be&is=6841953e&hm=57f5e3cf77c51e9c084eb54221ef59197e32010c201da03b5aba0e5f2477943d&,1,32,9,17,21,22,11,6,19,9,7,None,None,None,None,C,None,A,None,70,10,35,35,50,30,10,25,Steal,No,,,,,,,,,,,None,None,None,None,None,None,None,None,15,26,27,28,21,27
Jennifer,Bishop,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169750050766858/Portrait_Editor_lots.gba_4129_Jennifer_8AD040_trim.png?ex=6842e6be&is=6841953e&hm=bbbbf98cc73106900bf3b5b579af8bad4a42b9ba5eece75eb5ae7d9e597239c6&,5,28,10,10,14,26,10,5,14,10,6,None,None,None,None,C,A,None,None,60,30,25,25,0,35,10,25,Staff Master,No,,,,,,,,,,,None,None,None,None,None,None,None,None,15,26,24,26,21,30
Osvald,General,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169775296020632/Portrait_Editor_lots.gba_4931_Osvald_8AD120_trim.png?ex=6842e6c4&is=68419544&hm=010ba0ce37ff25d727214a641b94cbcc3419a83b1edaf15e4f3328e802e95578&,7,45,22,2,12,8,14,28,3,15,6,A,A,A,None,None,None,None,None,120,50,0,35,20,25,35,10,Rebreather,No,,,,,,,,,,,None,None,None,None,None,None,None,None,28,20,24,22,30,22
Abram,Dragonlord,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169775786889367/Portrait_Editor_lots.gba_5133_Abram_8AD158_trim.png?ex=6842e6c4&is=68419544&hm=2ad2e88f4801f4a5aceb4870eac9bf10e731820ac93e61b29aadbcb9b7d9a258&,7,44,20,0,19,17,9,12,6,12,8,None,A,S,None,None,None,None,None,75,35,0,35,30,20,25,15,Canto,No,,,,,,,,,,,None,None,None,None,None,None,None,None,30,20,24,21,27,21
Eudocia,Falcoknight,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169749392261161/Portrait_Editor_lots.gba_3927_Eudocia_8AD008_trim.png?ex=6842e6be&is=6841953e&hm=cbcc53f0f17958b828bd97ce86568e2c9a13e5ce434fd865d5f0c1447e3a83a4&,6,36,10,19,21,25,13,6,18,9,8,C,B,None,None,None,None,None,None,55,10,25,25,40,25,10,15,Canto,No,,,,,,,,,,,None,None,None,None,None,None,None,None,22,24,25,29,22,27
Rina,Sniper,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169776420098118/Portrait_Editor_lots.gba_6642_Rina_8AD2FC_trim.png?ex=6842e6c5&is=68419545&hm=166316df763a757b42bf4ae14aa37cbede83c8c9d8555bc2c8b2afbf9203a222&,7,36,22,0,24,19,9,11,8,10,6,None,None,None,S,None,None,None,None,65,40,0,35,25,10,10,15,Crit Boost,No,,,,,,,,,,,None,None,None,None,None,None,None,None,28,21,30,26,27,21
Quirina,Air Sage,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169774797164644/Portrait_Editor_lots.gba_754B_Quirina_8AD3F8_trim.png?ex=6842e6c4&is=68419544&hm=b76c3cd6b438d8ffb486927cc6e85a3331ac8e772ae07ace506c244f9c3a70b4&,12,43,15,22,28,28,28,11,21,7,8,None,None,None,None,A,None,A,None,60,0,45,55,0,55,30,55,Canto,No,,,,,,,,,,,None,None,None,None,None,None,None,None,15,28,30,28,22,24
