Name,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Partner 6,Partner 7,Starting Value 1,Starting Value 2,Starting Value 3,Starting Value 4,Starting Value 5,Starting Value 6,Starting Value 7,Growth 1,Growth 2,Growth 3,Growth 4,Growth 5,Growth 6,Growth 7
Adine,Drouin (Ice),Taika (Ice),Floor (Fire),Burdock (Dark),Josie (Light),Srikhandi (Wind),0,0,0,26,0,0,0,0,128,64,38,64,64,64,0
Kalach,Millisent (Fire),D. Sunwing (Thunder),Maluj (Wind),Venus (Wind),0,0,0,242,0,5,0,0,0,0,0,128,128,128,0,0,0
Millisent,Kalach (Thunder),Frances (Ice),Josie (Light),Soma (Fire),0,0,0,242,0,0,0,20,0,0,0,128,128,128,3,0,0
Finwald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geirhart,Shale (Ice),Ikechukwu (Ice),Alair (Dark),Sovnya (Thunder),Giroux (Ice),0,0,0,0,0,0,0,0,0,31,36,36,36,36,0,0
Luan,William (Ice),Ansha (Light),Expirus (Dark),Vectar (Ice),Sovnya (Thunder),Taika (Ice),Ikechukwu (Ice),0,0,0,0,0,0,0,36,72,72,36,36,36,36
Vectar,Itoro (Fire),Luan (Dark),D. Sunwing (Thunder),Ikechukwu (Ice),Kilian (Dark),0,0,0,0,0,0,0,0,0,36,36,36,36,36,0,0
Giroux,Geirhart (Fire),Philip (Fire),Sjoerd (Wind),Venus (Wind),Burdock (Dark),Arkell (Fire),0,0,0,0,0,0,0,0,36,31,31,64,64,64,0
Kim,Shale (Ice),Floor (Fire),Hazel (Fire),Itoro (Fire),Delano (Anima),Flint (Light),0,0,0,0,0,0,0,0,31,31,31,36,128,128,0
Bloody Jeb,Philip (Fire),Taika (Ice),Soma (Fire),Hazel (Fire),"""Brioche"" (Anima)",0,0,0,0,0,0,0,0,0,49,64,64,48,128,0,0
Arkell,Drouin (Ice),Gu (Anima),Maluj (Wind),Lily (Light),Giroux (Ice),Liam (Wind),0,0,0,0,0,0,0,0,128,64,128,64,64,64,0
Srikhandi,Kuijia (Dark),Kilian (Dark),Adine (Anima),Rienmire (Wind),Noki (Thunder),0,0,0,0,0,0,0,0,0,52,48,64,128,64,0,0
Flint,Burdock (Dark),Abdul (Anima),Ansha (Light),Mac (Fire),Kim (Ice),0,0,0,0,0,0,0,0,0,64,128,64,96,128,0,0
Clothilde,Delano (Anima),Frances (Ice),Strontium (Thunder),Poincare (Light),0,0,0,0,0,0,0,0,0,0,128,128,128,128,0,0,0
Delano,Clothilde (Wind),Bar'del (Fire),"""Brioche"" (Anima)",Kim (Ice),0,0,0,0,0,0,0,0,0,0,128,128,128,128,0,0,0
Strontium,Clothilde (Wind),Soma (Fire),Rienmire (Wind),Seer (Dark),0,0,0,0,0,0,0,0,0,0,128,128,128,128,0,0,0
"""Brioche""",Weber (Ice),Uyama (Light),Delano (Anima),Bloody Jeb (Thunder),Liam (Wind),0,0,0,0,0,0,0,0,0,128,128,128,128,128,0,0
Expirus,Kuijia (Dark),Luan (Dark),Taika (Ice),Soma (Fire),Queijo (Ice),Alderich (Wind),0,0,0,0,0,0,0,0,70,72,72,64,128,128,0
Maluj,Drouin (Ice),Uyama (Light),Kalach (Thunder),Josie (Light),Arkell (Fire),Queijo (Ice),0,0,0,5,0,0,0,0,96,128,128,72,128,128,0
Weber,D. Sunwing (Thunder),"""Brioche"" (Anima)",Fernandez (Light),Sjoerd (Wind),Queijo (Ice),0,0,0,0,0,0,0,0,0,128,128,84,84,128,0,0
Burdock,Shale (Ice),The Kamuth (Ice),Josie (Light),Noki (Thunder),Adine (Anima),Giroux (Ice),Flint (Light),0,0,0,0,0,0,0,72,128,64,64,64,64,64
Bar'del,Sovnya (Thunder),Daisy (Fire),Delano (Anima),0,0,0,0,64,64,0,0,0,0,0,128,128,128,0,0,0,0
Seer,Josie (Light),Youngblood (Thunder),Strontium (Thunder),The Kamuth (Ice),0,0,0,0,0,0,0,0,0,0,128,84,128,128,0,0,0
The Kamuth,Burdock (Dark),Kuijia (Dark),Queijo (Ice),Seer (Dark),Alderich (Wind),0,0,0,80,0,0,0,0,0,128,128,128,128,128,0,0
Rienmire,Ansha (Light),Strontium (Thunder),Srikhandi (Wind),0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,0,0,0
Frances,Poincare (Light),Hazel (Fire),Millisent (Fire),Clothilde (Wind),D. Sunwing (Thunder),Alderich (Wind),0,64,32,0,0,0,0,0,128,64,128,128,96,128,0
Queijo,Abdul (Anima),The Kamuth (Ice),Poincare (Light),Weber (Ice),Expirus (Dark),Maluj (Wind),Vivek (Wind),0,0,0,0,0,0,0,128,128,128,128,128,128,128
Liam,"""Brioche"" (Anima)",Venus (Wind),William (Ice),Itoro (Fire),Arkell (Fire),Soma (Fire),0,0,0,0,0,0,0,0,128,128,64,64,64,64,0
Alderich,Kuijia (Dark),Taika (Ice),Daisy (Fire),Soma (Fire),Frances (Ice),Expirus (Dark),The Kamuth (Ice),0,0,0,0,0,0,0,128,128,128,128,128,128,128
Zain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
