Name,Display Name,Description,Type,Weapon Type,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Display Price,Weapon Level,WEXP,Icon
Icestone,Icestone,"Gives +4 Str, 4 Mag, 8 Skl, 4 Spd, 12 Def, 8 Res, Magical at range, Inflicts -3 Spd, Effective vs fliers. [Freezing]",Weapon,Stone,255,10,75,5,5, 1-2,0,No,NoRank,0,https://i.ibb.co/mJ0PmHW/row-11-column-8.png
Firestone,Firestone,"Gives +8 Str, 2 Mag, 6 Skl, 4 Spd, 10 Def, 8 Res, Magical at range, Inflicts -3 Str, Effective vs cavalry. [Burning]",Weapon,Stone,255,10,75,5,5, 1-2,0,No,NoRank,0,https://i.ibb.co/wQM8n71/row-11-column-9.png
Magestone,Magestone,"Gives +8 Mag, 3 Skl, 11 Def, 20 Res, Magical, Inflicts -3 Skl, Effective vs mages. [Shocking]",Weapon,Stone,255,10,75,5,5, 1-2,0,No,NoRank,0,https://i.ibb.co/0FzjDm2/row-11-column-10.png
Earthstone,Earthstone,"Gives +5 Str, 4 Skl, 23 Def, 10 Res, Inflicts -3 Res, Effective vs armor. [Petrify]",Weapon,Stone,255,15,60,5,10, 1-2,0,No,NoRank,0,https://i.ibb.co/MV8MzSz/row-11-column-11.png
FusRoDah,Fus Ro Dah,"Inflicts -2 Str/Skl/Spd, Effective vs armor. [Smite]",Weapon,Shout,255,10,90,4,10, 1-3,0,No,NoRank,0,https://i.ibb.co/pyWJ5rc/row-11-column-5.png
IizSlenNus,Iiz Slen Nus,"Inflicts -4 Spd/2 Mag, Effective vs fliers. [Freezing]",Weapon,Shout,255,12,75,9,5, 1-3,0,No,NoRank,0,https://i.ibb.co/GJN3gRS/row-11-column-6.png
JoorZahFrul,Joor Zah Frul,"Inflicts -3 Def/Res, Effective vs dragons. [Nihil]",Weapon,Shout,255,15,75,12,15, 1-3,0,No,NoRank,0,https://i.ibb.co/Cm56v5c/row-11-column-7.png
BasicTie,Basic Tie,+1 Def/Res,Weapon,Monster,255,5,75,0,0,1,200,Yes,NoRank,0,https://i.ibb.co/f9McZyq/row-7-column-7.png
ConeHelm,Cone Helm,+2 Def/Res,Weapon,Monster,255,8,70,0,0,1,640,Yes,NoRank,0,https://i.ibb.co/J7jgqwh/row-7-column-8.png
BucketHelm,Bucket Helm,+3 Def/Res,Weapon,Monster,255,13,65,0,0,1,1370,Yes,NoRank,0,https://i.ibb.co/pvMHBPt/row-7-column-9.png
KnightHelm,Knight Helm,+5 Def/4 Res,Weapon,Monster,255,16,60,0,0,1,1800,Yes,NoRank,0,https://i.ibb.co/j4CgSKm/row-7-column-10.png
RockCore,Rock Core,"Can't Double, Gives +10 Str, 15 Def, 5 Res, Inflicts -2 Str [Reflect]",Weapon,Core,255,14,70,16,5, 1-2,5800,Yes,NoRank,0,https://i.ibb.co/C2kbGcy/row-11-column-1.png
IceCore,Ice Core,"Can't Double, Gives +10 Mag, 5 Def, 15 Res, Magical, Inflicts -2 Mag [Counter]",Weapon,Core,255,10,90,16,5, 1-2,5800,Yes,NoRank,0,https://i.ibb.co/JCt14nk/row-11-column-2.png
SteelCore,Steel Core,"Can't Double, Gives +5 Str, 5 Mag, 10 Def, 10 Res, Magical at range, Inflicts -1 Str/Mag [Renewal]",Weapon,Core,255,12,80,16,5, 1-2,5800,Yes,NoRank,0,https://i.ibb.co/S7kxvDR/row-11-column-3.png
AncientBeam,Ancient Beam,"Magical, Inflicts -1 Str/Mag",Weapon,Beam,255,15,75,15,0, 1-6,5200,Yes,NoRank,0,https://i.ibb.co/YpT3g4k/row-11-column-4.png
CharmRay,Charm Ray,Beholderkin/Nikana only. Inflicts -2 Luck,Weapon,Dark,255,7,75,7,0, 1-3,800,Yes,E,1,https://i.ibb.co/ZxDBjnp/row-8-column-8.png
FreezeRay,Freeze Ray,Beholderkin/Nikana only. Inflicts -2 Spd,Weapon,Dark,255,9,70,9,0, 1-3,1200,Yes,D,1,https://i.ibb.co/Sdm1thz/row-8-column-9.png
EnervationRay,Enervation Ray,Beholderkin/Nikana only.,Weapon,Dark,255,5,75,11,25, 1-3,1900,Yes,C,1,https://i.ibb.co/ZxDBjnp/row-8-column-8.png
Telekinesis,Telekinesis,Beholderkin/Nikana only. Inflicts -3 Skl/2 Spd [Shocking],Weapon,Dark,255,13,65,12,5, 1-3,2400,Yes,B,1,https://i.ibb.co/Sdm1thz/row-8-column-9.png
Disintegration,Disintegration,Beholderkin/Nikana only. Inflicts -3 Def [Corrosion],Weapon,Dark,255,15,60,13,10, 1-3,3000,Yes,A,1,https://i.ibb.co/Sdm1thz/row-8-column-9.png
DeathRay,Death Ray,Beholderkin/Nikana only. Inflicts -3 Res,Weapon,Dark,255,20,50,15,10, 1-3,4000,Yes,A,1,https://i.ibb.co/ZxDBjnp/row-8-column-8.png
Stone,Stone,Deals no damage but turns targets to stone for a while.,Weapon,Dark,255,0,65,8,0, 1-3,0,No,NoRank,5,https://i.ibb.co/PYyXLpc/row-8-column-10.png
RayOfFrost,Ray of Frost,"Matthew only. Inflicts -2 Spd, 4x Effective vs dragons, gargoyles, eyes, jelly. [Reposition]",Weapon,Anima,255,4,80,8,8, 1-2,0,No,Prf,1,https://i.ibb.co/P4Q9HLH/row-10-column-1.png
FierySaber,FierySaber,"Melina only. Inflicts -2 Str, 4x Effective vs monsters. [Shove]",Weapon,Sword,255,4,80,8,8, 1-2,0,No,Prf,1,https://i.ibb.co/W2Hv0Wg/row-10-column-4.png
Hookshot,Hookshot,"Emily only. Inflicts -2 Skl, 4x Effective vs armor. [Lunge]",Weapon,Lance,255,5,75,10,7, 1-2,0,No,Prf,1,https://i.ibb.co/6tqdm50/row-10-column-7.png
FreezeDry,Freeze-Dry,"Matthew only. Inflicts -3 Spd, Reaver, Effective vs dragons, gargoyles, eyes, jelly. [Luna]",Weapon,Anima,255,10,80,8,8, 1-2,0,No,Prf,1,https://i.ibb.co/8mMy1nZ/row-10-column-2.png
GauldurBlade,Gauldur Blade,"Melina only. Inflicts -3 Str, Reaver, Effective vs monsters. [Sol]",Weapon,Sword,255,10,80,8,8, 1-2,0,No,Prf,1,https://i.ibb.co/Hp8xQwB/row-10-column-5.png
Chainsaw,Chainsaw,"Emily only. Inflicts -3 Skl, Reaver, Effective vs armor. [Astra]",Weapon,Lance,255,12,75,10,10, 1-2,0,No,Prf,1,https://i.ibb.co/pXTmHS2/row-10-column-8.png
Amihan,Amihan,"Matthew only. Gives +4 Mag, 4 Skl, Inflicts -4 Spd, Effective vs dragons, gargoyles, eyes, jelly. [Drive Magic]",Weapon,Anima,255,12,80,10,16, 1-2,0,No,Prf,1,https://i.ibb.co/n3K8mTG/row-10-column-3.png
Habagat,Habagat,"Melina only. Gives +4 Str, 4 Spd, Inflicts -4 Str, Effective vs monsters. [Drive Strength]",Weapon,Sword,255,12,80,10,16, 1-2,0,No,Prf,1,https://i.ibb.co/Jr50hwW/row-10-column-6.png
Ramuh,Ramuh,"Emily only. Gives +5 Spd, 7 Luck, Magical at range, Inflicts -4 Skl [Drive Speed]",Weapon,Lance,255,14,77,12,14, 1-2,0,No,Prf,1,https://i.ibb.co/7QPCDhF/row-10-column-9.png
Dunblade,Dunblade,Diana/Violet/Nadia only. Effective vs armor.,Weapon,Sword,45,7,70,6,30,1,0,No,Prf,2,https://i.ibb.co/cDNg7DV/row-12-column-3.png
LevinSword,Levin Sword,"Rickson only. Inflicts -2 Skl, Magical at range",Weapon,Sword,50,9,75,9,0, 1-3,0,No,Prf,2,https://i.ibb.co/dDYckbq/row-12-column-1.png
Flameblade,Flameblade,"Elowyn only. Inflicts -2 Str, Magical at range",Weapon,Sword,50,7,85,8,0, 1-3,0,No,Prf,2,https://i.ibb.co/D13F7Jm/row-12-column-2.png
MispellBlade,Mispell Blade,"Emiko only. Inflicts -3 Skl/Luck, Magical [Seal Skill]",Weapon,Sword,40,12,58,6,29, 1-2,0,No,Prf,2,https://i.ibb.co/p3mvcPc/row-13-column-6.png
Monado,Monado,"Rickson only. Gives +5 Spd, 5 Luck, Effective vs machines. [Foresight]",Weapon,Sword,60,15,75,10,15,1,0,No,Prf,1,https://i.ibb.co/hRY1ZM4/row-13-column-1.png
MasterSword,Master Sword,"Elowyn only. Gives +3 Str, 3 Mag, 3 Spd, Magical at range, Effective vs monsters +Guardian. [Sol]",Weapon,Sword,60,12,90,9,15, 1-2,0,No,Prf,1,https://i.ibb.co/RgZfgt9/row-13-column-2.png
Neapolisword,Neapolisword,Selpan only. Inflicts -1 Str/Skl/Spd. [Spur Strength],Weapon,Sword,255,3,75,6,0, 1-2,0,No,Prf,2,https://i.ibb.co/CwQw8qy/row-12-column-9.png
Lightsaber,Lightsaber,"Nikana only. Gives +9 Luck, Ignore 60% Def [Corrosion]",Weapon,Sword,60,12,77,9,15,1,0,No,Prf,1,https://i.ibb.co/3MR9X8Z/row-13-column-7.png
Arectaris,Arectaris,Diana/Violet/Nadia only. Effective vs swordsmen. [Swordbreaker],Weapon,Sword,30,18,85,17,0, 1-2,0,No,S,1,https://i.ibb.co/XSDf3Rs/row-13-column-3.png
Reginleif,Reginleif,Tarif/Eirika only. Effective vs knights.,Weapon,Lance,45,10,80,8,10,1,0,No,Prf,2,https://i.ibb.co/hLvPqLL/row-12-column-8.png
Mjolnir,Mjölnir,"For the worthy. Gives +3 Str, Mag, Spd, Def, Magical at range, Inflicts -3 Skl [Thunderstorm]",Weapon,Axe,55,17,62,12,0,4-Jan,0,No,Prf,1,https://i.ibb.co/VQ9Lj0k/row-13-column-12.png
RocketBow,Rocket Bow,"Rosalyn only. Inflicts -2 Luck, Effective vs mages.",Weapon,Bow,45,7,85,7,10, 1-2,0,No,Prf,2,https://i.ibb.co/G2Qyq0B/row-10-column-10.png
YueLongbow,Yuè Longbow,Rye only.,Weapon,Bow,35,10,60,13,20,4,0,No,Prf,1,https://i.ibb.co/HnB4JY5/row-13-column-8.png
Adamant,Adamant,"Selene's bloodline only. Gives +10 Skl, 5 Def, Effective vs dragons and fliers. [Drive Defense]",Weapon,Bow,50,18,96,8,16,2,0,No,Prf,1,https://i.ibb.co/rt7n1j4/row-10-column-12.png
Lustrous,Lustrous,"Rosalyn only. Gives +10 Skl, 5 Spd, Effective vs dragons and fliers. [Drive Resistance]",Weapon,Bow,50,18,98,6,12,2,0,No,Prf,1,https://i.ibb.co/VWLZQP4/row-10-column-11.png
TIDYSBlaster,TIDYS Blaster,Krystal only. Ignore 100% Def,Weapon,Gun,60,15,75,7,10, 1-3,0,No,Prf,0,https://i.ibb.co/n0cgkww/row-12-column-11.png
AxeLauncher,Axe Launcher,"Brave, Effective vs armor.",Weapon,Ballista,25,14,60,12,0, 1-3,120,No,NoRank,0,https://i.ibb.co/qsc5xHJ/row-13-column-4.png
ScorchingRay,Scorching Ray,"Ashley only. Inflicts -1 Str/Mag, Effective vs monsters. [Nihil]",Weapon,Anima,50,8,85,6,15, 1-2,0,No,Prf,2,https://i.ibb.co/9ypmFTZ/row-12-column-6.png
Neapolibeam,Neapolibeam,Selpan only. Inflicts -1 Str/Skl/Spd. [Spur Magic],Weapon,Anima,255,3,75,6,0, 1-2,0,No,Prf,2,https://i.ibb.co/PCdy9Gh/row-12-column-10.png
Bagpipes,Bagpipes,"Krielle only. Gives +3 Spd, Inflicts -3 Spd. [Spur Speed]",Weapon,Anima,255,5,80,8,8, 1-3,0,No,Prf,2,https://i.ibb.co/zXtnCqf/row-13-column-5.png
Amagidyne,Amagidyne,"Yukiko only. Gives +10 Luck, Inflicts -3 Str, Reaver, Effective vs monsters. [Demoiselle]",Weapon,Anima,35,16,95,8,16, 1-2,0,No,Prf,0,https://i.ibb.co/r3PkZPw/row-17-column-12.png
Neuroshock,Neuroshock,"Safira only. Inflicts -2 Mag, Effective vs mages.",Weapon,Light,50,4,90,7,10, 1-2,0,No,Prf,2,https://i.ibb.co/R0bwdJ2/row-12-column-5.png
SolarFlare,Solar Flare,Hikari only. Inflicts -1 Str/Skl [Tomebreaker],Weapon,Light,50,6,75,5,20, 1-2,0,No,Prf,2,https://i.ibb.co/vCWjmry/row-12-column-12.png
Brainshock,Brainshock,"Salazar only. Inflicts -2 Mag, Effective vs mages.",Weapon,Dark,50,6,80,9,10, 1-2,0,No,Prf,2,https://i.ibb.co/BZnYBnP/row-12-column-4.png
Meteor,Meteor,Reduces target's HP to 1.,Weapon,Dark,3,255,45,18,0, 3-10,0,No,S,1,https://i.ibb.co/H4H2hNY/row-8-column-11.png
Wabbajack,Wabbajack,"Sirianne/Martin/Matthew only. Gives +10 Luck, Inflicts -2 Str/Skl/Spd [Chaos Magic]",Weapon,Staff,60,13,65,7,0, 1-5,0,No,Prf,0,https://i.ibb.co/7xhj1hV/row-13-column-10.png
